"displacement,mm","force,kN","force,N"
0.0,0.00274511,2.74511
0.0140006,2.4625500000000002,2462.55
0.028003,4.90212,4902.12
0.0420048,7.537140000000001,7537.14
0.0559993,10.078700000000001,10078.7
0.0699863,12.627,12627.0
0.0840036,15.1038,15103.8
0.0980211,17.488500000000002,17488.5
0.112037,19.653299999999998,19653.3
0.12606,21.557900000000004,21557.9
0.140097,23.1828,23182.8
0.154067,24.0122,24012.2
0.168038,24.3983,24398.3
0.18201,24.572200000000002,24572.2
0.19598,24.6579,24657.9
0.209951,24.6851,24685.1
0.223921,24.6872,24687.2
0.237893,24.671599999999998,24671.6
0.251842,24.645200000000003,24645.2
0.265735,24.612900000000003,24612.9
0.279627,24.5757,24575.7
0.29352,24.5338,24533.8
0.307413,24.4887,24488.7
0.321306,24.4404,24440.4
0.335198,24.3893,24389.3
0.349091,24.335900000000002,24335.9
0.362983,24.280900000000003,24280.9
0.376877,24.2242,24224.2
0.390768,24.1661,24166.1
0.404662,24.1067,24106.7
0.418555,24.046,24046.0
0.432447,23.984099999999998,23984.1
0.44634,23.9211,23921.1
0.460232,23.857200000000002,23857.2
0.474125,23.792,23792.0
0.488018,23.725900000000003,23725.9
0.50195,23.6588,23658.8
0.515999,23.590799999999998,23590.8
0.530048,23.5218,23521.8
0.544095,23.4516,23451.6
0.558474,23.3785,23378.5
0.572875,23.3021,23302.1
0.587127,23.224,23224.0
0.601208,23.144900000000003,23144.9
0.615287,23.0637,23063.7
0.629367,22.9802,22980.2
0.643448,22.892500000000002,22892.5
0.657527,22.799200000000003,22799.2
0.671608,22.7031,22703.1
0.685687,22.6043,22604.3
0.699768,22.502200000000002,22502.2
0.713847,22.3973,22397.3
0.727927,22.289099999999998,22289.1
0.742008,22.1782,22178.2
0.756087,22.064400000000003,22064.4
0.770168,21.9481,21948.1
0.784247,21.8292,21829.2
0.798326,21.7084,21708.4
0.812408,21.5851,21585.1
0.826486,21.46,21460.0
0.840568,21.3328,21332.8
0.854647,21.203400000000002,21203.4
0.868728,21.0725,21072.5
0.882807,20.9395,20939.5
0.896832,19.820400000000003,19820.4
0.910698,20.739,20739.0
0.924291,20.4888,20488.8
0.937802,20.4995,20499.5
0.951314,20.2469,20246.9
0.965611,20.1982,20198.2
0.979668,19.9908,19990.8
0.993598,19.8837,19883.7
1.00781,19.7375,19737.5
1.02221,19.568099999999998,19568.1
1.03661,19.4678,19467.8
1.05101,19.2336,19233.6
1.06541,19.1797,19179.7
1.07942,18.9311,18931.1
1.09376,18.8595,18859.5
1.10747,18.643400000000003,18643.4
1.12107,18.572200000000002,18572.2
1.13467,18.363400000000002,18363.4
1.14827,18.254,18254.0
1.16187,18.095200000000002,18095.2
1.17548,17.922400000000003,17922.4
1.19011,17.786099999999998,17786.1
1.20473,17.6176,17617.6
1.21936,17.4497,17449.7
1.23319,17.2844,17284.4
1.24691,17.1293,17129.3
1.26062,16.967200000000002,16967.2
1.27434,16.742400000000004,16742.4
1.28805,16.5637,16563.7
1.30177,16.5002,16500.2
1.31548,16.2728,16272.8
1.32919,16.0688,16068.8
1.34291,15.937700000000001,15937.7
1.35663,15.7902,15790.2
1.37034,15.6558,15655.8
1.38319,15.467600000000001,15467.6
1.39661,15.2735,15273.5
