
                  X             Displacement          Force      

                0.                 0.                 2.74511    
              100.009E-06         14.0006E-03         2.46255E+03
              200.E-06            28.003E-03          4.90212E+03
              300.004E-06         42.0048E-03         7.53714E+03
              400.008E-06         55.9993E-03        10.0787E+03 
              500.004E-06         69.9863E-03        12.627E+03  
              600.006E-06         84.0036E-03        15.1038E+03 
              700.008E-06         98.0211E-03        17.4885E+03 
              800.001E-06        112.037E-03         19.6533E+03 
              900.003E-06        126.06E-03          21.5579E+03 
                1.00001E-03      140.097E-03         23.1828E+03 
                1.1E-03          154.067E-03         24.0122E+03 
                1.2E-03          168.038E-03         24.3983E+03 
                1.30001E-03      182.01E-03          24.5722E+03 
                1.4E-03          195.98E-03          24.6579E+03 
                1.50001E-03      209.951E-03         24.6851E+03 
                1.6E-03          223.921E-03         24.6872E+03 
                1.70001E-03      237.893E-03         24.6716E+03 
                1.8E-03          251.842E-03         24.6452E+03 
                1.90001E-03      265.735E-03         24.6129E+03 
                2.E-03           279.627E-03         24.5757E+03 
                2.10001E-03      293.52E-03          24.5338E+03 
                2.2E-03          307.413E-03         24.4887E+03 
                2.30001E-03      321.306E-03         24.4404E+03 
                2.4E-03          335.198E-03         24.3893E+03 
                2.50001E-03      349.091E-03         24.3359E+03 
                2.6E-03          362.983E-03         24.2809E+03 
                2.70001E-03      376.877E-03         24.2242E+03 
                2.8E-03          390.768E-03         24.1661E+03 
                2.9E-03          404.662E-03         24.1067E+03 
                3.00001E-03      418.555E-03         24.046E+03  
                3.1E-03          432.447E-03         23.9841E+03 
                3.20001E-03      446.34E-03          23.9211E+03 
                3.3E-03          460.232E-03         23.8572E+03 
                3.40001E-03      474.125E-03         23.792E+03  
                3.5E-03          488.018E-03         23.7259E+03 
                3.60001E-03      501.95E-03          23.6588E+03 
                3.7E-03          515.999E-03         23.5908E+03 
                3.80001E-03      530.048E-03         23.5218E+03 
                3.9E-03          544.095E-03         23.4516E+03 
                4.E-03           558.474E-03         23.3785E+03 
                4.10001E-03      572.875E-03         23.3021E+03 
                4.2E-03          587.127E-03         23.224E+03  
                4.30001E-03      601.208E-03         23.1449E+03 
                4.4E-03          615.287E-03         23.0637E+03 
                4.5E-03          629.367E-03         22.9802E+03 
                4.60001E-03      643.448E-03         22.8925E+03 
                4.7E-03          657.527E-03         22.7992E+03 
                4.80001E-03      671.608E-03         22.7031E+03 
                4.9E-03          685.687E-03         22.6043E+03 
                5.00001E-03      699.768E-03         22.5022E+03 
                5.1E-03          713.847E-03         22.3973E+03 
                5.2E-03          727.927E-03         22.2891E+03 
                5.30001E-03      742.008E-03         22.1782E+03 
                5.4E-03          756.087E-03         22.0644E+03 
                5.50001E-03      770.168E-03         21.9481E+03 
                5.6E-03          784.247E-03         21.8292E+03 
                5.7E-03          798.326E-03         21.7084E+03 
                5.80001E-03      812.408E-03         21.5851E+03 
                5.9E-03          826.486E-03         21.46E+03   
                6.00001E-03      840.568E-03         21.3328E+03 
                6.1E-03          854.647E-03         21.2034E+03 
                6.20001E-03      868.728E-03         21.0725E+03 
                6.3E-03          882.807E-03         20.9395E+03 
                6.4E-03          896.832E-03         19.8204E+03 
                6.5E-03          910.698E-03         20.739E+03  
                6.60001E-03      924.291E-03         20.4888E+03 
                6.7E-03          937.802E-03         20.4995E+03 
                6.80001E-03      951.314E-03         20.2469E+03 
                6.90001E-03      965.611E-03         20.1982E+03 
                7.E-03           979.668E-03         19.9908E+03 
                7.1E-03          993.598E-03         19.8837E+03 
                7.2E-03            1.00781           19.7375E+03 
                7.30001E-03        1.02221           19.5681E+03 
                7.40001E-03        1.03661           19.4678E+03 
                7.5E-03            1.05101           19.2336E+03 
                7.6E-03            1.06541           19.1797E+03 
                7.7E-03            1.07942           18.9311E+03 
                7.80001E-03        1.09376           18.8595E+03 
                7.9E-03            1.10747           18.6434E+03 
                8.E-03             1.12107           18.5722E+03 
                8.10001E-03        1.13467           18.3634E+03 
                8.2E-03            1.14827           18.254E+03  
                8.3E-03            1.16187           18.0952E+03 
                8.4E-03            1.17548           17.9224E+03 
                8.5E-03            1.19011           17.7861E+03 
                8.6E-03            1.20473           17.6176E+03 
                8.7E-03            1.21936           17.4497E+03 
                8.8E-03            1.23319           17.2844E+03 
                8.9E-03            1.24691           17.1293E+03 
                9.E-03             1.26062           16.9672E+03 
                9.10001E-03        1.27434           16.7424E+03 
                9.2E-03            1.28805           16.5637E+03 
                9.3E-03            1.30177           16.5002E+03 
                9.4E-03            1.31548           16.2728E+03 
                9.5E-03            1.32919           16.0688E+03 
                9.6E-03            1.34291           15.9377E+03 
                9.7E-03            1.35663           15.7902E+03 
                9.8E-03            1.37034           15.6558E+03 
                9.9E-03            1.38319           15.4676E+03 
               10.E-03             1.39661           15.2735E+03 




