"strain,-","stress,MPa","stress,Pa"
0.0,1115.3873302383179,1115387330.238318
0.0005,1131.3688231044923,1131368823.1044924
0.001,1144.072821402921,1144072821.402921
0.0015,1154.172325088602,1154172325.088602
0.002,1162.2021400114722,1162202140.0114722
0.0025,1168.5872547569065,1168587254.7569065
0.003,1173.6653905728388,1173665390.5728388
0.0035,1177.7049208845472,1177704920.8845472
0.004,1180.919111208094,1180919111.208094
0.0045,1183.4774350334376,1183477435.0334375
0.005,1185.5145660989417,1185514566.0989418
0.0055,1187.1375241881317,1187137524.1881318
0.006,1188.4313536052819,1188431353.6052818
0.0065,1189.4636356302385,1189463635.6302385
0.007,1190.2880743837065,1190288074.3837066
0.0075,1190.9473463693241,1190947346.3693242
0.008,1191.4753648894678,1191475364.8894677
0.0085,1191.8990794848858,1191899079.4848857
0.009,1192.2399058765734,1192239905.8765733
0.0095,1192.5148622827357,1192514862.2827358
0.01,1192.7374724039057,1192737472.4039056
0.0105,1192.918482988689,1192918482.988689
0.011,1193.0664340542312,1193066434.0542312
0.0115,1193.1881120173568,1193188112.0173569
0.012,1193.2889097795544,1193288909.7795544
0.0125,1193.3731128719473,1193373112.8719473
0.013,1193.4441268431276,1193444126.8431275
0.0135,1193.5046579550697,1193504657.9550695
0.014,1193.556856774864,1193556856.774864
0.0145,1193.602432281259,1193602432.281259
0.015,1193.6427425405186,1193642742.5405185
0.0155,1193.6788667628523,1193678866.7628522
0.016,1193.7116625627539,1193711662.562754
0.0165,1193.7418114614723,1193741811.4614723
0.017,1193.7698550459877,1193769855.0459876
0.0175,1193.796223703088,1193796223.7030878
0.018,1193.8212594531765,1193821259.4531765
0.0185,1193.84523409538,1193845234.09538
0.019,1193.8683636267288,1193868363.6267288
0.0195,1193.8908197005017,1193890819.7005017
0.02,1193.9127387317048,1193912738.731705
0.0205,1193.9342291328335,1193934229.1328335
0.021,1193.955377063838,1193955377.063838
0.0215,1193.976251001389,1193976251.001389
0.022,1193.9969053698928,1193996905.3698928
0.0225,1194.017383426909,1194017383.426909
0.023,1194.0377195560775,1194037719.5560775
0.0235,1194.0579410892187,1194057941.0892186
0.024,1194.0780697542793,1194078069.7542794
0.0245,1194.0981228259611,1194098122.825961
0.025,1194.1181140400772,1194118114.0400772
0.0255,1194.138054320156,1194138054.320156
0.026,1194.1579523548473,1194157952.3548474
0.0265,1194.1778150567593,1194177815.0567594
0.027,1194.1976479270834,1194197647.9270835
0.0275,1194.2174553453458,1194217455.3453457
0.028,1194.2372407996618,1194237240.7996619
0.0285,1194.2570070697113,1194257007.0697114
0.029,1194.2767563721434,1194276756.3721433
0.0295,1194.2964904761216,1194296490.4761217
0.03,1194.3162107951473,1194316210.7951472
0.0305,1194.3359184600279,1194335918.460028
0.031,1194.3556143768603,1194355614.3768604
0.0315,1194.3752992731115,1194375299.2731116
0.032,1194.394973734236,1194394973.734236
0.0325,1194.4146382327767,1194414638.2327766
0.033,1194.4342931514889,1194434293.1514888
0.0335,1194.453938801718,1194453938.801718
0.034,1194.4735754380038,1194473575.4380038
0.0345,1194.4932032696875,1194493203.2696874
0.035,1194.5128224701346,1194512822.4701345
0.0355,1194.5324331840652,1194532433.184065
0.036,1194.552035533381,1194552035.533381
0.0365,1194.5716296217945,1194571629.6217945
0.037,1194.591215538509,1194591215.538509
0.0375,1194.6107933611445,1194610793.3611445
0.038,1194.6303631580624,1194630363.1580625
0.0385,1194.6499249902133,1194649924.9902134
0.039,1194.6694789126077,1194669478.9126077
0.0395,1194.6890249754827,1194689024.9754827
0.04,1194.7085632252308,1194708563.225231
0.0405,1194.7280937051416,1194728093.7051415
0.041,1194.7476164559857,1194747616.4559858
0.0415,1194.7671315164848,1194767131.5164847
0.042,1194.7866389236824,1194786638.9236825
0.0425,1194.8061387132407,1194806138.7132406
0.043,1194.8256309196768,1194825630.9196768
0.0435,1194.8451155765501,1194845115.5765502
0.044,1194.8645927166133,1194864592.7166133
0.0445,1194.88406237193,1194884062.37193
0.045,1194.9035245739738,1194903524.5739737
0.0455,1194.9229793537008,1194922979.3537009
0.046,1194.9424267416136,1194942426.7416136
0.0465,1194.9618667678099,1194961866.7678099
0.047,1194.9812994620213,1194981299.4620214
0.0475,1195.000724853647,1195000724.853647
0.048,1195.0201429717767,1195020142.9717767
0.0485,1195.0395538452149,1195039553.8452148
0.049,1195.0589575024956,1195058957.5024955
0.0495,1195.0783539718975,1195078353.9718976
0.05,1195.097743281456,1195097743.281456
0.0505,1195.1171254589708,1195117125.4589708
0.051,1195.1365005320174,1195136500.5320175
0.0515,1195.1558685279506,1195155868.5279505
0.052,1195.1752294739124,1195175229.4739125
0.0525,1195.1945833968366,1195194583.3968365
0.053,1195.2139303234528,1195213930.3234527
0.0535,1195.233270280291,1195233270.280291
0.054,1195.2526032936858,1195252603.2936857
0.0545,1195.271929389777,1195271929.389777
0.055,1195.291248594515,1195291248.594515
0.0555,1195.3105609336628,1195310560.933663
0.056,1195.3298664327986,1195329866.4327986
0.0565,1195.349165117317,1195349165.117317
0.057,1195.3684570124333,1195368457.0124333
0.0575,1195.3877421431846,1195387742.1431847
0.058,1195.407020534431,1195407020.534431
0.0585,1195.426292210859,1195426292.210859
0.059,1195.4455571969827,1195445557.1969826
0.0595,1195.4648155171465,1195464815.5171463
0.06,1195.484067195525,1195484067.1955252
0.0605,1195.5033122561274,1195503312.2561274
0.061,1195.522550722797,1195522550.722797
0.0615,1195.5417826192142,1195541782.6192143
0.062,1195.561007968898,1195561007.9688978
0.0625,1195.5802267952065,1195580226.7952065
0.063,1195.5994391213408,1195599439.1213408
0.0635,1195.6186449703443,1195618644.9703443
0.064,1195.6378443651056,1195637844.3651056
0.0645,1195.6570373283594,1195657037.3283594
0.065,1195.6762238826886,1195676223.8826888
0.0655,1195.6954040505254,1195695404.0505254
0.066,1195.7145778541528,1195714577.854153
0.0665,1195.7337453157065,1195733745.3157065
0.067,1195.7529064571756,1195752906.4571757
0.0675,1195.772061300404,1195772061.3004038
0.068,1195.7912098670936,1195791209.8670936
0.0685,1195.8103521788028,1195810352.1788027
0.069,1195.8294882569503,1195829488.2569504
0.0695,1195.848618122815,1195848618.122815
0.07,1195.8677417975384,1195867741.7975385
0.0705,1195.886859302125,1195886859.302125
0.071,1195.9059706574437,1195905970.6574438
0.0715,1195.9250758842302,1195925075.8842301
0.072,1195.944175003086,1195944175.003086
0.0725,1195.9632680344828,1195963268.0344827
0.073,1195.9823549987607,1195982354.9987607
