"displacement,mm","force,kN","force,N"
0.0,0.0028344399999999997,2.83444
0.0109994,1.32212,1322.12
0.0219971,2.56764,2567.64
0.0329979,3.84633,3846.33
0.0440047,5.1669,5166.9
0.0550058,6.409140000000001,6409.14
0.066004,7.63105,7631.05
0.0770094,8.9267,8926.7
0.0879884,10.191,10191.0
0.0989676,11.379299999999999,11379.3
0.109947,12.5918,12591.8
0.120926,13.7909,13790.9
0.131905,14.956100000000001,14956.1
0.142884,16.0942,16094.2
0.153865,17.1126,17112.6
0.164844,18.053400000000003,18053.4
0.175863,18.711000000000002,18711.0
0.186883,18.990900000000003,18990.9
0.197901,19.0337,19033.7
0.208921,18.994400000000002,18994.4
0.219895,18.942700000000002,18942.7
0.230969,18.9124,18912.4
0.242029,18.874200000000002,18874.2
0.253102,18.8154,18815.4
0.264106,18.7433,18743.3
0.275109,18.6707,18670.7
0.286112,18.604599999999998,18604.6
0.297116,18.543,18543.0
0.308119,18.4772,18477.2
0.319123,18.4037,18403.7
0.330094,18.3275,18327.5
0.340986,18.256,18256.0
0.351881,18.1889,18188.9
0.362966,18.114,18114.0
0.374052,18.0377,18037.7
0.385137,17.957700000000003,17957.7
0.396137,17.8748,17874.8
0.40711,17.7907,17790.7
0.41808,17.7069,17706.9
0.429052,17.6247,17624.7
0.440023,17.541400000000003,17541.4
0.450918,17.453200000000002,17453.2
0.461775,17.359099999999998,17359.1
0.472633,17.2643,17264.3
0.48349,17.1726,17172.6
0.494347,17.0796,17079.6
0.505486,16.9772,16977.2
0.516626,16.8723,16872.3
0.527767,16.7641,16764.1
0.53884,16.6534,16653.4
0.54982,16.5411,16541.1
0.560818,16.427400000000002,16427.4
0.571844,16.3119,16311.9
0.582794,16.194100000000002,16194.1
0.593865,16.0715,16071.5
0.604779,15.9458,15945.8
0.615884,15.816600000000001,15816.6
0.62675,15.6868,15686.8
0.637859,15.552,15552.0
0.648726,15.4173,15417.3
0.659857,15.2756,15275.6
0.670773,15.133799999999999,15133.8
0.681888,14.9864,14986.4
0.6928,14.838799999999999,14838.8
0.703822,14.6875,14687.5
0.714872,14.5335,14533.5
0.725825,14.3777,14377.7
0.736922,14.216600000000001,14216.6
0.747828,14.056799999999999,14056.8
0.758926,13.8918,13891.8
0.769905,13.725299999999999,13725.3
0.780735,13.560200000000002,13560.2
0.791935,13.3863,13386.3
0.802891,13.213799999999999,13213.8
0.813754,13.042,13042.0
0.824913,12.8614,12861.4
0.835992,12.683100000000001,12683.1
0.846658,12.507,12507.0
0.857967,12.3215,12321.5
0.868939,12.139100000000001,12139.1
0.879844,11.9586,11958.6
0.890358,11.7802,11780.2
0.900872,11.604600000000001,11604.6
0.911882,11.415700000000001,11415.7
0.923615,11.2174,11217.4
0.934953,11.0229,11022.9
0.946155,10.8321,10832.1
0.957156,10.6454,10645.4
0.967822,10.4625,10462.5
0.978489,10.2836,10283.6
0.988784,10.1091,10109.1
0.998917,9.93896,9938.96
1.01052,9.74252,9742.52
1.02204,9.550139999999999,9550.14
1.03356,9.364870000000002,9364.87
1.04508,9.185229999999999,9185.23
1.0566,9.011370000000001,9011.37
1.06779,8.84488,8844.88
1.07803,8.684030000000002,8684.03
1.08827,8.527870000000002,8527.87
1.09851,8.376719999999999,8376.72
