
                  X             Displacement          Force      

                0.                 0.                 2.83444    
              100.001E-06         10.9994E-03         1.32212E+03
              200.013E-06         21.9971E-03         2.56764E+03
              300.002E-06         32.9979E-03         3.84633E+03
              400.001E-06         44.0047E-03         5.1669E+03 
              500.013E-06         55.0058E-03         6.40914E+03
              600.011E-06         66.004E-03          7.63105E+03
              700.01E-06          77.0094E-03         8.9267E+03 
              800.008E-06         87.9884E-03        10.191E+03  
              900.007E-06         98.9676E-03        11.3793E+03 
                1.E-03           109.947E-03         12.5918E+03 
                1.1E-03          120.926E-03         13.7909E+03 
                1.2E-03          131.905E-03         14.9561E+03 
                1.3E-03          142.884E-03         16.0942E+03 
                1.40001E-03      153.865E-03         17.1126E+03 
                1.50001E-03      164.844E-03         18.0534E+03 
                1.6E-03          175.863E-03         18.711E+03  
                1.70001E-03      186.883E-03         18.9909E+03 
                1.8E-03          197.901E-03         19.0337E+03 
                1.90001E-03      208.921E-03         18.9944E+03 
                2.00001E-03      219.895E-03         18.9427E+03 
                2.10001E-03      230.969E-03         18.9124E+03 
                2.20001E-03      242.029E-03         18.8742E+03 
                2.30001E-03      253.102E-03         18.8154E+03 
                2.40001E-03      264.106E-03         18.7433E+03 
                2.50001E-03      275.109E-03         18.6707E+03 
                2.60001E-03      286.112E-03         18.6046E+03 
                2.70001E-03      297.116E-03         18.543E+03  
                2.8E-03          308.119E-03         18.4772E+03 
                2.9E-03          319.123E-03         18.4037E+03 
                3.E-03           330.094E-03         18.3275E+03 
                3.1E-03          340.986E-03         18.256E+03  
                3.20001E-03      351.881E-03         18.1889E+03 
                3.3E-03          362.966E-03         18.114E+03  
                3.40001E-03      374.052E-03         18.0377E+03 
                3.5E-03          385.137E-03         17.9577E+03 
                3.60001E-03      396.137E-03         17.8748E+03 
                3.70001E-03      407.11E-03          17.7907E+03 
                3.8E-03          418.08E-03          17.7069E+03 
                3.90001E-03      429.052E-03         17.6247E+03 
                4.E-03           440.023E-03         17.5414E+03 
                4.10001E-03      450.918E-03         17.4532E+03 
                4.2E-03          461.775E-03         17.3591E+03 
                4.30001E-03      472.633E-03         17.2643E+03 
                4.40001E-03      483.49E-03          17.1726E+03 
                4.5E-03          494.347E-03         17.0796E+03 
                4.60001E-03      505.486E-03         16.9772E+03 
                4.7E-03          516.626E-03         16.8723E+03 
                4.8E-03          527.767E-03         16.7641E+03 
                4.90001E-03      538.84E-03          16.6534E+03 
                5.00001E-03      549.82E-03          16.5411E+03 
                5.1E-03          560.818E-03         16.4274E+03 
                5.2E-03          571.844E-03         16.3119E+03 
                5.3E-03          582.794E-03         16.1941E+03 
                5.40001E-03      593.865E-03         16.0715E+03 
                5.50001E-03      604.779E-03         15.9458E+03 
                5.60001E-03      615.884E-03         15.8166E+03 
                5.70001E-03      626.75E-03          15.6868E+03 
                5.8E-03          637.859E-03         15.552E+03  
                5.9E-03          648.726E-03         15.4173E+03 
                6.E-03           659.857E-03         15.2756E+03 
                6.1E-03          670.773E-03         15.1338E+03 
                6.20001E-03      681.888E-03         14.9864E+03 
                6.3E-03          692.8E-03           14.8388E+03 
                6.4E-03          703.822E-03         14.6875E+03 
                6.5E-03          714.872E-03         14.5335E+03 
                6.60001E-03      725.825E-03         14.3777E+03 
                6.7E-03          736.922E-03         14.2166E+03 
                6.80001E-03      747.828E-03         14.0568E+03 
                6.9E-03          758.926E-03         13.8918E+03 
                7.E-03           769.905E-03         13.7253E+03 
                7.1E-03          780.735E-03         13.5602E+03 
                7.2E-03          791.935E-03         13.3863E+03 
                7.30001E-03      802.891E-03         13.2138E+03 
                7.40001E-03      813.754E-03         13.042E+03  
                7.5E-03          824.913E-03         12.8614E+03 
                7.60001E-03      835.992E-03         12.6831E+03 
                7.7E-03          846.658E-03         12.507E+03  
                7.8E-03          857.967E-03         12.3215E+03 
                7.90001E-03      868.939E-03         12.1391E+03 
                8.E-03           879.844E-03         11.9586E+03 
                8.1E-03          890.358E-03         11.7802E+03 
                8.2E-03          900.872E-03         11.6046E+03 
                8.3E-03          911.882E-03         11.4157E+03 
                8.4E-03          923.615E-03         11.2174E+03 
                8.5E-03          934.953E-03         11.0229E+03 
                8.6E-03          946.155E-03         10.8321E+03 
                8.7E-03          957.156E-03         10.6454E+03 
                8.8E-03          967.822E-03         10.4625E+03 
                8.9E-03          978.489E-03         10.2836E+03 
                9.E-03           988.784E-03         10.1091E+03 
                9.1E-03          998.917E-03          9.93896E+03
                9.2E-03            1.01052            9.74252E+03
                9.3E-03            1.02204            9.55014E+03
                9.4E-03            1.03356            9.36487E+03
                9.5E-03            1.04508            9.18523E+03
                9.6E-03            1.0566             9.01137E+03
                9.7E-03            1.06779            8.84488E+03
                9.8E-03            1.07803            8.68403E+03
                9.9E-03            1.08827            8.52787E+03
               10.E-03             1.09851            8.37672E+03




