"displacement,mm","force,kN","force,N"
0.0,0.00274511,2.74511
0.0140006,2.4625500000000002,2462.55
0.028003,4.90212,4902.12
0.0420048,7.537140000000001,7537.14
0.0559993,10.065100000000001,10065.1
0.0699863,12.5195,12519.5
0.0840036,14.8801,14880.1
0.0980211,17.030900000000003,17030.9
0.112037,18.5416,18541.6
0.126061,19.2487,19248.7
0.140097,19.517599999999998,19517.6
0.154067,19.7227,19722.7
0.168039,19.8598,19859.8
0.18201,19.975099999999998,19975.1
0.19598,20.072,20072.0
0.209951,20.1522,20152.2
0.223921,20.215400000000002,20215.4
0.237893,20.2673,20267.3
0.251843,20.310599999999997,20310.6
0.265736,20.343799999999998,20343.8
0.279629,20.370400000000004,20370.4
0.293522,20.3903,20390.3
0.307414,20.404400000000003,20404.4
0.321307,20.4136,20413.6
0.335199,20.418,20418.0
0.349092,20.418599999999998,20418.6
0.362984,20.415,20415.0
0.376877,20.4084,20408.4
0.39077,20.398500000000002,20398.5
0.404663,20.385900000000003,20385.9
0.418556,20.3708,20370.8
0.432448,20.3533,20353.3
0.446342,20.3337,20333.7
0.460233,20.3124,20312.4
0.474127,20.289099999999998,20289.1
0.488018,20.2641,20264.1
0.501947,20.2373,20237.3
0.515995,20.2088,20208.8
0.530045,20.178700000000003,20178.7
0.544093,20.1471,20147.1
0.558471,20.113200000000003,20113.2
0.572872,20.0778,20077.8
0.587271,20.0412,20041.2
0.601672,20.0033,20003.3
0.616071,19.9641,19964.1
0.63047,19.9236,19923.6
0.644871,19.8818,19881.8
0.65916,19.838400000000004,19838.4
0.673241,19.7933,19793.3
0.687321,19.747,19747.0
0.701401,19.699900000000003,19699.9
0.715481,19.652,19652.0
0.72956,19.6033,19603.3
0.743641,19.5538,19553.8
0.757721,19.503400000000003,19503.4
0.771801,19.452099999999998,19452.1
0.785881,19.4001,19400.1
0.79996,19.347099999999998,19347.1
0.814041,19.293200000000002,19293.2
0.82812,19.238400000000002,19238.4
0.842201,19.182599999999997,19182.6
0.85628,19.1259,19125.9
0.870361,19.0682,19068.2
0.88444,19.0095,19009.5
0.898521,18.949900000000003,18949.9
0.912601,18.889200000000002,18889.2
0.926681,18.8276,18827.6
0.940761,18.765400000000003,18765.4
0.954841,18.7022,18702.2
0.968919,18.6383,18638.3
0.983001,18.573700000000002,18573.7
0.99708,18.508599999999998,18508.6
1.01116,18.4428,18442.8
1.02524,18.3765,18376.5
1.03932,18.3096,18309.6
1.0534,18.2422,18242.2
1.06748,18.1743,18174.3
1.08156,18.105900000000002,18105.9
1.09564,18.0371,18037.1
1.10925,17.9307,17930.7
1.12276,17.9028,17902.8
1.13627,17.8352,17835.2
1.14978,17.792099999999998,17792.1
1.16329,17.7082,17708.2
1.1768,17.658,17658.0
1.19076,17.583000000000002,17583.0
1.20516,17.5103,17510.3
1.21956,17.4345,17434.5
1.23396,17.362000000000002,17362.0
1.24836,17.296,17296.0
1.26198,17.2249,17224.9
1.27558,17.153299999999998,17153.3
1.28918,17.081400000000002,17081.4
1.30278,17.0093,17009.3
1.31638,16.935599999999997,16935.6
1.32998,16.8687,16868.7
1.34358,16.7969,16796.9
1.35718,16.725099999999998,16725.1
1.37078,16.656299999999998,16656.3
1.38489,16.5813,16581.3
1.39952,16.5015,16501.5
