
                  X             Displacement          Force      

                0.                 0.                 2.74511    
              100.009E-06         14.0006E-03         2.46255E+03
              200.E-06            28.003E-03          4.89577E+03
              300.004E-06         42.0048E-03         7.38713E+03
              400.008E-06         55.9993E-03         9.47719E+03
              500.004E-06         69.9867E-03        10.4196E+03 
              600.006E-06         84.004E-03         10.9039E+03 
              700.008E-06         98.0215E-03        11.1836E+03 
              800.001E-06        112.038E-03         11.361E+03  
              900.003E-06        126.06E-03          11.4876E+03 
                1.00001E-03      140.097E-03         11.5766E+03 
                1.1E-03          154.067E-03         11.6557E+03 
                1.2E-03          168.038E-03         11.7279E+03 
                1.30001E-03      182.01E-03          11.7937E+03 
                1.4E-03          195.98E-03          11.8544E+03 
                1.50001E-03      209.951E-03         11.9117E+03 
                1.6E-03          223.921E-03         11.9659E+03 
                1.70001E-03      237.892E-03         12.0177E+03 
                1.8E-03          251.845E-03         12.0671E+03 
                1.90001E-03      265.738E-03         12.1142E+03 
                2.E-03           279.631E-03         12.1593E+03 
                2.10001E-03      293.524E-03         12.2027E+03 
                2.2E-03          307.415E-03         12.2445E+03 
                2.30001E-03      321.309E-03         12.2848E+03 
                2.4E-03          335.201E-03         12.324E+03  
                2.50001E-03      349.094E-03         12.3621E+03 
                2.6E-03          362.986E-03         12.3995E+03 
                2.70001E-03      376.879E-03         12.4362E+03 
                2.8E-03          390.772E-03         12.4721E+03 
                2.9E-03          404.665E-03         12.5071E+03 
                3.00001E-03      418.558E-03         12.5414E+03 
                3.1E-03          432.45E-03          12.575E+03  
                3.20001E-03      446.343E-03         12.6079E+03 
                3.3E-03          460.236E-03         12.6402E+03 
                3.40001E-03      474.129E-03         12.672E+03  
                3.5E-03          488.021E-03         12.7031E+03 
                3.60001E-03      501.946E-03         12.7336E+03 
                3.7E-03          515.994E-03         12.7637E+03 
                3.80001E-03      530.044E-03         12.7932E+03 
                3.9E-03          544.091E-03         12.8222E+03 
                4.E-03           558.469E-03         12.8514E+03 
                4.10001E-03      572.87E-03          12.8803E+03 
                4.2E-03          587.269E-03         12.9088E+03 
                4.30001E-03      601.67E-03          12.9368E+03 
                4.4E-03          616.07E-03          12.9643E+03 
                4.5E-03          630.47E-03          12.9914E+03 
                4.60001E-03      644.871E-03         13.0181E+03 
                4.7E-03          659.27E-03          13.0443E+03 
                4.80001E-03      673.671E-03         13.0703E+03 
                4.9E-03          688.069E-03         13.0958E+03 
                5.00001E-03      702.47E-03          13.1209E+03 
                5.1E-03          716.87E-03          13.1458E+03 
                5.2E-03          731.27E-03          13.1702E+03 
                5.30001E-03      745.67E-03          13.1944E+03 
                5.4E-03          760.07E-03          13.2181E+03 
                5.50001E-03      774.471E-03         13.2416E+03 
                5.6E-03          788.871E-03         13.2647E+03 
                5.7E-03          803.269E-03         13.2876E+03 
                5.80001E-03      817.67E-03          13.3101E+03 
                5.9E-03          832.07E-03          13.3324E+03 
                6.00001E-03      846.47E-03          13.3544E+03 
                6.1E-03          860.87E-03          13.3761E+03 
                6.20001E-03      875.27E-03          13.3974E+03 
                6.3E-03          889.671E-03         13.4185E+03 
                6.4E-03          904.069E-03         13.4393E+03 
                6.50001E-03      918.47E-03          13.4598E+03 
                6.6E-03          932.869E-03         13.4801E+03 
                6.70001E-03      947.27E-03          13.5001E+03 
                6.8E-03          961.67E-03          13.5199E+03 
                6.9E-03          976.069E-03         13.5394E+03 
                7.00001E-03      990.471E-03         13.5587E+03 
                7.1E-03            1.0046            13.5778E+03 
                7.20001E-03        1.01868           13.5966E+03 
                7.3E-03            1.03276           13.6152E+03 
                7.40001E-03        1.04684           13.6335E+03 
                7.5E-03            1.06092           13.6517E+03 
                7.6E-03            1.075             13.6696E+03 
                7.70001E-03        1.08908           13.6873E+03 
                7.8E-03            1.10316           13.7047E+03 
                7.90001E-03        1.11724           13.722E+03  
                8.E-03             1.13132           13.7391E+03 
                8.1E-03            1.1454            13.7559E+03 
                8.20001E-03        1.15948           13.7726E+03 
                8.3E-03            1.17356           13.7891E+03 
                8.40001E-03        1.18764           13.8054E+03 
                8.5E-03            1.20172           13.8215E+03 
                8.6E-03            1.2158            13.8374E+03 
                8.7E-03            1.22988           13.8532E+03 
                8.8E-03            1.24396           13.8687E+03 
                8.90001E-03        1.25804           13.8841E+03 
                9.E-03             1.27212           13.8993E+03 
                9.10001E-03        1.2862            13.9143E+03 
                9.2E-03            1.30028           13.9292E+03 
                9.3E-03            1.31436           13.9438E+03 
                9.40001E-03        1.32844           13.9584E+03 
                9.5E-03            1.34252           13.9727E+03 
                9.60001E-03        1.3566            13.9869E+03 
                9.7E-03            1.37068           14.0009E+03 
                9.8E-03            1.38476           14.0147E+03 
                9.9E-03            1.39884           14.0284E+03 
               10.E-03             1.41292           14.0419E+03 




