"strain,-","stress,MPa","stress,Pa"
0.0,399.11551917686165,399115519.17686164
0.0005,439.64316052356327,439643160.52356327
0.001,468.5550304408628,468555030.44086283
0.0015,489.25514110868346,489255141.10868347
0.002,504.1498663279223,504149866.32792234
0.0025,514.9403271722945,514940327.1722945
0.003,522.8290858924889,522829085.89248896
0.0035,528.6662624228444,528666262.4228444
0.004,533.0528273818554,533052827.3818554
0.0045,536.4136221861396,536413622.1861396
0.005,539.0489785893117,539048978.5893117
0.0055,541.1712096795538,541171209.6795539
0.006,542.9304061757114,542930406.1757114
0.0065,544.4326724016488,544432672.4016488
0.007,545.7530177014413,545753017.7014413
0.0075,546.9444696671146,546944469.6671146
0.008,548.0445164818537,548044516.4818537
0.0085,549.079661155675,549079661.155675
0.009,550.0686410159869,550068641.0159869
0.0095,551.0247036372149,551024703.6372149
0.01,551.9572157462596,551957215.7462597
0.0105,552.8728005937692,552872800.5937692
0.011,553.7761419874272,553776141.9874272
0.0115,554.6705526812184,554670552.6812184
0.012,555.5583761827017,555558376.1827017
0.0125,556.4412707997708,556441270.7997708
0.013,557.32041043989,557320410.43989
0.0135,558.1966265598016,558196626.5598017
0.014,559.0705085131938,559070508.5131937
0.0145,559.942474488953,559942474.488953
0.015,560.8128216592486,560812821.6592486
0.0155,561.6817616305759,561681761.6305759
0.016,562.549445505136,562549445.505136
0.0165,563.415981597519,563415981.597519
0.017,564.281447959263,564281447.959263
0.0175,565.1459012329715,565145901.2329714
0.018,566.0093829117162,566009382.9117162
0.0185,566.8719237641715,566871923.7641715
0.019,567.7335469630588,567733546.9630587
0.0195,568.5942702969294,568594270.2969294
0.02,569.4541077339345,569454107.7339345
0.0205,570.3130705274955,570313070.5274955
0.021,571.1711679981299,571171167.99813
0.0215,572.0284080863421,572028408.0863421
0.022,572.8847977436681,572884797.7436681
0.0225,573.7403432093073,573740343.2093073
0.023,574.5950502058676,574595050.2058675
0.0235,575.4489240779253,575448924.0779253
0.024,576.3019698901611,576301969.8901612
0.0245,577.1541924969088,577154192.4969088
