
                  X             Displacement          Force      

                0.                 0.                 4.16753    
              100.007E-06         20.0011E-03         1.43707E+03
              200.006E-06         40.0051E-03         2.90051E+03
              300.006E-06         59.9947E-03         4.43098E+03
              400.007E-06         79.9874E-03         5.68307E+03
              500.008E-06         99.9767E-03         7.27963E+03
              600.008E-06        119.945E-03          8.61698E+03
              700.009E-06        139.913E-03         10.175E+03  
              800.01E-06         159.881E-03         11.5215E+03 
              900.011E-06        179.849E-03         12.0555E+03 
                1.00001E-03      199.818E-03         12.3744E+03 
                1.10001E-03      219.786E-03         12.4883E+03 
                1.20001E-03      239.754E-03         12.5846E+03 
                1.30001E-03      259.722E-03         12.661E+03  
                1.4E-03          279.687E-03         12.7214E+03 
                1.5E-03          299.655E-03         12.7764E+03 
                1.6E-03          319.624E-03         12.8307E+03 
                1.7E-03          339.592E-03         12.8845E+03 
                1.8E-03          359.56E-03          12.931E+03  
                1.9E-03          379.528E-03         12.9808E+03 
                2.E-03           399.572E-03         13.0246E+03 
                2.10001E-03      419.703E-03         13.0678E+03 
                2.20001E-03      439.831E-03         13.1082E+03 
                2.3E-03          459.958E-03         13.1482E+03 
                2.40001E-03      480.089E-03         13.1865E+03 
                2.50001E-03      500.217E-03         13.2232E+03 
                2.6E-03          520.443E-03         13.259E+03  
                2.70001E-03      540.678E-03         13.2936E+03 
                2.80001E-03      560.909E-03         13.3271E+03 
                2.9E-03          581.14E-03          13.3596E+03 
                3.00001E-03      601.374E-03         13.3913E+03 
                3.1E-03          621.605E-03         13.422E+03  
                3.20001E-03      641.839E-03         13.4518E+03 
                3.30001E-03      662.071E-03         13.4808E+03 
                3.4E-03          682.302E-03         13.5092E+03 
                3.50001E-03      702.536E-03         13.5368E+03 
                3.60001E-03      722.767E-03         13.5637E+03 
                3.7E-03          742.998E-03         13.59E+03   
                3.80001E-03      763.232E-03         13.6157E+03 
                3.90001E-03      783.463E-03         13.6408E+03 
                4.E-03           803.694E-03         13.6653E+03 
                4.10001E-03      823.929E-03         13.6893E+03 
                4.2E-03          844.16E-03          13.7127E+03 
                4.30001E-03      864.394E-03         13.7356E+03 
                4.40001E-03      884.625E-03         13.758E+03  
                4.5E-03          904.856E-03         13.7799E+03 
                4.60001E-03      925.091E-03         13.8015E+03 
                4.70001E-03      945.322E-03         13.8226E+03 
                4.8E-03          965.553E-03         13.8433E+03 
                4.90001E-03      985.787E-03         13.8635E+03 
                5.00001E-03        1.00602           13.8833E+03 
                5.1E-03            1.02625           13.9027E+03 
                5.20001E-03        1.04648           13.9217E+03 
                5.3E-03            1.06671           13.9403E+03 
                5.40001E-03        1.08695           13.9586E+03 
                5.50001E-03        1.10718           13.9765E+03 
                5.6E-03            1.12741           13.9941E+03 
                5.70001E-03        1.14765           14.0114E+03 
                5.80001E-03        1.16788           14.0284E+03 
                5.9E-03            1.18811           14.045E+03  
                6.00001E-03        1.20834           14.0613E+03 
                6.1E-03            1.22857           14.0773E+03 
                6.20001E-03        1.24881           14.0929E+03 
                6.30001E-03        1.26904           14.1083E+03 
                6.4E-03            1.28927           14.1234E+03 
                6.50001E-03        1.3095            14.1383E+03 
                6.60001E-03        1.32973           14.1528E+03 
                6.7E-03            1.34997           14.167E+03  
                6.80001E-03        1.3702            14.181E+03  
                6.90001E-03        1.39023           14.1947E+03 
                7.E-03             1.41005           14.2082E+03 
                7.10001E-03        1.42987           14.2214E+03 
                7.2E-03            1.44969           14.2343E+03 
                7.30001E-03        1.46951           14.247E+03  
                7.40001E-03        1.48933           14.2595E+03 
                7.5E-03            1.50915           14.2717E+03 
                7.60001E-03        1.52897           14.2837E+03 
                7.70001E-03        1.54879           14.2954E+03 
                7.8E-03            1.56861           14.3069E+03 
                7.90001E-03        1.58901           14.3185E+03 
                8.E-03             1.60949           14.33E+03   
                8.1E-03            1.62996           14.3412E+03 
                8.20001E-03        1.65045           14.3522E+03 
                8.30001E-03        1.67093           14.3629E+03 
                8.4E-03            1.69141           14.3735E+03 
                8.5E-03            1.71188           14.3838E+03 
                8.60001E-03        1.73237           14.3939E+03 
                8.70001E-03        1.75285           14.4039E+03 
                8.8E-03            1.77332           14.4136E+03 
                8.90001E-03        1.79381           14.4231E+03 
                9.00001E-03        1.81429           14.4324E+03 
                9.1E-03            1.83476           14.4415E+03 
                9.2E-03            1.85524           14.4503E+03 
                9.30001E-03        1.87557           14.459E+03  
                9.40001E-03        1.89562           14.4675E+03 
                9.5E-03            1.91567           14.4758E+03 
                9.60001E-03        1.93573           14.4839E+03 
                9.70001E-03        1.95578           14.4918E+03 
                9.8E-03            1.97583           14.4996E+03 
                9.9E-03            1.99588           14.5071E+03 
               10.E-03             2.01616           14.5144E+03 




