"displacement,mm","force,kN","force,N"
0.0,0.00416753,4.16753
0.0200011,1.43707,1437.07
0.0400051,2.9005,2900.5
0.0599947,3.27971,3279.71
0.0799871,3.4122800000000004,3412.28
0.0999809,3.5308200000000003,3530.82
0.119975,3.6275700000000004,3627.57
0.139949,3.72233,3722.33
0.159917,3.80518,3805.18
0.179885,3.88268,3882.68
0.199853,3.95699,3956.99
0.219822,4.0262199999999995,4026.22
0.23979,4.08988,4089.88
0.259758,4.15284,4152.84
0.279723,4.2103,4210.3
0.299691,4.26614,4266.14
0.319659,4.3188699999999995,4318.87
0.339628,4.36972,4369.72
0.359596,4.41772,4417.72
0.379564,4.46447,4464.47
0.399608,4.50871,4508.71
0.419739,4.55156,4551.56
0.439866,4.59272,4592.72
0.459995,4.6320500000000004,4632.05
0.480125,4.66962,4669.62
0.500254,4.70596,4705.96
0.520285,4.7409300000000005,4740.93
0.540313,4.7743,4774.3
0.560337,4.80614,4806.14
0.580362,4.8367700000000005,4836.77
0.60039,4.86629,4866.29
0.620415,4.8946000000000005,4894.6
0.640442,4.92177,4921.77
0.660467,4.94761,4947.61
0.680492,4.972300000000001,4972.3
0.70052,4.99592,4995.92
0.720544,5.01846,5018.46
0.740569,5.039890000000001,5039.89
0.760597,5.060300000000001,5060.3
0.780621,5.079689999999999,5079.69
0.800646,5.09803,5098.03
0.820674,5.11536,5115.36
0.840698,5.13166,5131.66
0.860726,5.14694,5146.94
0.880751,5.16138,5161.38
0.900776,5.1746099999999995,5174.61
0.920803,5.18705,5187.05
0.940828,5.1983999999999995,5198.4
0.960853,5.20866,5208.66
0.980881,5.21798,5217.98
1.0009,5.22628,5226.28
1.02109,5.23343,5233.43
1.04132,5.23946,5239.46
1.06155,5.2443599999999995,5244.36
1.08179,5.24805,5248.05
1.10202,5.25042,5250.42
1.12225,5.251399999999999,5251.4
1.14249,5.25094,5250.94
1.16272,5.248880000000001,5248.88
1.18295,5.245439999999999,5245.44
1.20318,5.24062,5240.62
1.22341,5.23454,5234.54
1.24365,5.22723,5227.23
1.26388,5.21875,5218.75
1.28411,5.20923,5209.23
1.30434,5.198729999999999,5198.73
1.32457,5.18734,5187.34
1.34481,5.17513,5175.13
1.36463,5.162140000000001,5162.14
1.38445,5.14829,5148.29
1.40427,5.13389,5133.89
1.42409,5.11892,5118.92
1.4439,5.103470000000001,5103.47
1.46373,5.087470000000001,5087.47
1.48354,5.07104,5071.04
1.50336,5.05413,5054.13
1.52318,5.036560000000001,5036.56
1.543,5.0183800000000005,5018.38
1.56282,4.99972,4999.72
1.58322,4.97974,4979.74
1.6037,4.958670000000001,4958.67
1.62418,4.937060000000001,4937.06
1.64466,4.914479999999999,4914.48
1.66514,4.8907799999999995,4890.78
1.68556,4.866149999999999,4866.15
1.70562,4.84072,4840.72
1.72567,4.81425,4814.25
1.74572,4.786770000000001,4786.77
1.76578,4.75837,4758.37
1.78583,4.72912,4729.12
1.80589,4.69904,4699.04
1.82594,4.66814,4668.14
1.84599,4.6363,4636.3
1.86605,4.60365,4603.65
1.8861,4.57014,4570.14
1.90596,4.536300000000001,4536.3
1.92559,4.50209,4502.09
1.94507,4.46758,4467.58
1.96564,4.4304,4430.4
1.98598,4.39298,4392.98
2.00609,4.35549,4355.49
