displacement/mm,force/kN,force/N
0.0,0.231692566,231.692566
0.00060235,0.774486328,774.486328
0.001591292,0.820802979,820.8029789999999
0.003612843,0.835601807,835.601807
0.001497117,0.8378479,837.8479
0.002898088,0.88404364,884.04364
0.000878302,0.894443665,894.443665
0.003211705,0.893713501,893.7135010000001
0.001123635,0.896086426,896.086426
0.003404705,0.896891357,896.891357
0.001325456,0.897301392,897.3013920000001
0.00341284,0.911380798,911.380798
0.004538487,0.958836609,958.836609
0.004851448,1.007809753,1007.8097530000001
0.006971283,1.046658203,1046.658203
0.004620938,1.047605957,1047.605957
0.006634077,1.08408667,1084.0866700000001
0.00767537,1.132884766,1132.8847660000001
0.008238827,1.181591553,1181.591553
0.01027421,1.206112183,1206.112183
0.008226452,1.233582764,1233.582764
0.01045805,1.234457764,1234.457764
0.010412309,1.282010254,1282.010254
0.009933525,1.331349609,1331.349609
0.011936315,1.344843506,1344.843506
0.009920415,1.362523682,1362.523682
0.012006935,1.364620117,1364.6201170000002
0.011363346,1.415239868,1415.2398680000001
0.013408198,1.443198608,1443.1986080000001
0.011393442,1.447673584,1447.673584
0.013490083,1.486200195,1486.200195
0.013278803,1.536687012,1536.687012
0.015284261,1.548120239,1548.1202389999999
0.013205787,1.54894458,1548.9445799999999
0.015367674,1.578312866,1578.312866
0.013301453,1.584490234,1584.490234
0.015413231,1.588138794,1588.138794
0.013330295,1.608058228,1608.0582279999999
0.015340685,1.629897461,1629.897461
0.013262659,1.646031738,1646.0317380000001
0.015279122,1.652284058,1652.284058
0.015374559,1.707824707,1707.8247070000002
0.017406609,1.744757446,1744.7574459999998
0.015295172,1.746649414,1746.649414
0.01617305,1.799349731,1799.349731
0.013988476,1.804040161,1804.0401610000001
0.01604734,1.805111206,1805.111206
0.014006216,1.820360962,1820.360962
0.016229708,1.821786987,1821.7869870000002
0.014196474,1.82353772,1823.53772
0.016296137,1.830013794,1830.0137940000002
0.014287803,1.829716675,1829.7166750000001
0.016450081,1.83426355,1834.26355
0.017329259,1.886411987,1886.411987
0.015280757,1.889831543,1889.8315429999998
0.017332328,1.936250977,1936.2509770000001
0.015257639,1.944905762,1944.905762
0.017333133,1.949484131,1949.484131
0.016830523,2.002544067,2002.544067
0.014783774,2.036651855,2036.651855
0.016931806,2.038897461,2038.897461
0.019241031,2.068784668,2068.7846680000002
0.016992029,2.070835205,2070.835205
0.019038912,2.076663086,2076.663086
0.01701295,2.081250244,2081.250244
0.019017069,2.104711182,2104.711182
0.016953506,2.115818359,2115.818359
0.019030131,2.116263428,2116.2634279999997
0.016999604,2.120527832,2120.527832
0.019050421,2.122593262,2122.593262
0.017046444,2.147822021,2147.822021
0.019142143,2.151021973,2151.0219730000003
0.017024128,2.199212646,2199.212646
0.019049255,2.199045166,2199.045166
0.021102143,2.250604004,2250.604004
0.018930567,2.252915283,2252.9152830000003
0.021084795,2.288555176,2288.555176
0.018755207,2.290239502,2290.239502
0.021012316,2.290800293,2290.8002930000002
0.018915424,2.292419434,2292.4194340000004
0.020925203,2.296725098,2296.725098
0.01889197,2.296564941,2296.564941
0.020972261,2.299653809,2299.653809
0.018830905,2.301634277,2301.6342769999997
0.016740451,2.302628174,2302.628174
0.018999407,2.303461182,2303.461182
0.021007771,2.322819336,2322.8193359999996
0.018836612,2.322025635,2322.025635
0.020985592,2.336598877,2336.5988770000004
0.020216879,2.387989258,2387.989258
0.022220124,2.435808838,2435.808838
0.020183809,2.437251709,2437.2517089999997
0.022308119,2.437005615,2437.005615
0.020142563,2.439605469,2439.605469
0.022408314,2.440260254,2440.260254
0.020297356,2.441031982,2441.031982
0.022319295,2.459880127,2459.880127
0.020225979,2.459932617,2459.9326170000004
0.02227781,2.46295752,2462.95752
0.020265259,2.464888428,2464.888428
0.022317879,2.487003662,2487.0036619999996
0.020161562,2.48742627,2487.42627
0.022223238,2.518779053,2518.7790529999997
0.020208839,2.520529785,2520.5297849999997
0.022278994,2.524269287,2524.269287
0.020223707,2.524450684,2524.450684
0.022285312,2.527256348,2527.256348
0.020282373,2.560475098,2560.475098
0.022355542,2.561938721,2561.938721
0.021952828,2.612626221,2612.626221
0.023987779,2.624209961,2624.209961
0.021858225,2.624663086,2624.663086
0.023885293,2.659312988,2659.312988
0.021849556,2.662531738,2662.531738
0.024070663,2.666913818,2666.913818
0.02205075,2.697061279,2697.061279
0.024288271,2.712422607,2712.422607
0.022134159,2.712274658,2712.2746580000003
0.024169926,2.71499585,2714.9958500000002
0.022035033,2.715554688,2715.554688
0.024223357,2.716246094,2716.246094
0.022177517,2.720091797,2720.0917969999996
0.024221957,2.722160645,2722.1606450000004
0.022124639,2.748799561,2748.799561
0.024189821,2.748890381,2748.8903809999997
0.022133699,2.758263184,2758.263184
0.024206271,2.758807617,2758.807617
0.024882369,2.810554932,2810.554932
0.022877686,2.82132251,2821.32251
0.024933092,2.824309814,2824.3098139999997
0.024925932,2.874294678,2874.294678
0.026957259,2.876006592,2876.006592
0.024833545,2.875522461,2875.522461
0.025152145,2.927324219,2927.324219
0.024754306,2.977828369,2977.828369
0.026888222,3.006755615,3006.755615
0.024799176,3.009257568,3009.257568
0.026801221,3.024451904,3024.451904
0.024679504,3.027122559,3027.122559
0.026732937,3.031141113,3031.1411129999997
0.024578109,3.031923584,3031.9235839999997
0.026674941,3.032947998,3032.947998
0.024538696,3.03596167,3035.9616699999997
0.026584446,3.015048096,3015.048096
0.024561226,3.016921143,3016.921143
0.02662511,3.036109375,3036.109375
0.024616366,3.038519531,3038.519531
0.02664097,3.078661621,3078.661621
0.024557043,3.091262207,3091.262207
0.026595119,3.094368652,3094.368652
0.024507206,3.11104834,3111.04834
0.026543122,3.11411084,3114.11084
0.028544616,3.164076172,3164.076172
0.026433181,3.165622314,3165.622314
0.028576266,3.166765625,3166.765625
0.026488435,3.167595459,3167.595459
0.027219355,3.22117041,3221.17041
0.02933963,3.260269775,3260.2697749999998
0.027198154,3.262805908,3262.805908
0.029199917,3.262644287,3262.644287
0.027133573,3.267595459,3267.5954589999997
0.029221673,3.270171631,3270.171631
0.027154524,3.270861084,3270.8610839999997
0.029236753,3.274478271,3274.478271
0.02720562,3.286345459,3286.345459
0.029450569,3.28675,3286.75
0.027212057,3.289388184,3289.388184
0.029264126,3.289364746,3289.3647459999997
0.027066784,3.30373584,3303.73584
0.02921732,3.304603271,3304.603271
0.027166681,3.306007813,3306.0078129999997
0.029401081,3.305729492,3305.7294920000004
0.027359443,3.312123535,3312.123535
0.029382305,3.314917725,3314.917725
0.027376188,3.325266602,3325.266602
0.029448999,3.328684326,3328.684326
0.027373588,3.328835205,3328.835205
0.029409444,3.330928467,3330.928467
0.031428073,3.335428467,3335.4284669999997
0.02927438,3.337207764,3337.2077639999998
0.027132854,3.348306396,3348.306396
0.029346213,3.349311523,3349.311523
0.027149305,3.34992041,3349.92041
0.029414281,3.351816162,3351.816162
0.027271137,3.351759277,3351.759277
0.029528722,3.354272949,3354.2729489999997
0.027509198,3.35459082,3354.59082
0.029600605,3.356733154,3356.733154
0.029779263,3.401893066,3401.893066
0.027756579,3.424537598,3424.5375980000003
0.029853221,3.424608887,3424.6088870000003
0.031862315,3.427302734,3427.302734
0.029776689,3.429482178,3429.482178
0.031935703,3.437890381,3437.8903809999997
0.029767524,3.437993408,3437.9934080000003
0.031902958,3.440348389,3440.3483889999998
0.029862691,3.442947021,3442.947021
0.031904925,3.443355713,3443.355713
0.029828075,3.445185059,3445.185059
0.031871263,3.454606934,3454.606934
0.029784892,3.459735352,3459.735352
0.031937815,3.475063965,3475.063965
0.02982674,3.476959961,3476.959961
0.031894125,3.477173828,3477.1738280000004
0.032099787,3.522573486,3522.5734860000002
0.032818567,3.566923828,3566.923828
0.034874089,3.60905249,3609.05249
0.032806911,3.611290039,3611.290039
0.034990959,3.617263428,3617.2634279999997
0.032845013,3.599462646,3599.462646
0.034979843,3.589093506,3589.093506
0.032886051,3.583525146,3583.525146
0.034946885,3.615162109,3615.162109
0.03276464,3.615347656,3615.347656
0.034796402,3.626070557,3626.070557
0.032668531,3.632914795,3632.914795
0.034702964,3.652745117,3652.745117
0.032680519,3.654732422,3654.732422
0.034785189,3.658708252,3658.708252
0.032708414,3.661221924,3661.221924
0.034744091,3.666733398,3666.733398
0.032693453,3.667489502,3667.489502
0.034813356,3.670084229,3670.084229
0.032809403,3.711408203,3711.408203
0.034828495,3.715736816,3715.736816
0.032735627,3.762901855,3762.901855
0.034864139,3.766147949,3766.147949
0.035902336,3.81035376,3810.35376
0.036203805,3.857093018,3857.093018
0.038356274,3.865592773,3865.592773
0.036163658,3.865660156,3865.660156
0.03837369,3.883609375,3883.609375
0.036349636,3.88516748,3885.1674799999996
0.03850871,3.900627686,3900.627686
0.036426391,3.907994141,3907.994141
0.038516026,3.916221191,3916.221191
0.03649573,3.944773926,3944.773926
0.03855966,3.92864502,3928.64502
0.040569741,3.94296167,3942.9616699999997
0.038331602,3.949074951,3949.074951
0.040433556,3.965560547,3965.560547
0.038418084,3.968313232,3968.313232
0.04051505,3.977665039,3977.665039
0.038310837,4.022529053,4022.529053
0.040585589,4.024786621,4024.7866209999997
0.038581323,4.024946777,4024.946777
0.040790092,4.027220703,4027.2207030000004
0.041550353,4.078937988,4078.9379879999997
0.039381903,4.096127441,4096.1274410000005
0.041382473,4.098727539,4098.727539
0.039298665,4.10317334,4103.173339999999
0.041337263,4.103084961,4103.0849610000005
0.039306652,4.11640332,4116.403319999999
0.041350495,4.121077148,4121.077148
0.043379143,4.153440918,4153.440918
0.041058376,4.153767578,4153.767578
0.039040402,4.154249512,4154.249511999999
0.041373327,4.154422363,4154.422363
0.039329529,4.177428223,4177.428223
0.041360259,4.179071289,4179.071289
0.041008264,4.230756348,4230.756348
0.043037269,4.260790527,4260.790527
0.040997598,4.263161133,4263.161133
0.043014206,4.283147461,4283.1474610000005
0.041010834,4.287191895,4287.191895
0.043166999,4.301538086,4301.538086
0.04111338,4.302691406,4302.691406
0.043145228,4.308708008,4308.708008
0.04110508,4.315246094,4315.246094
0.043375123,4.321936523,4321.936522999999
0.041372705,4.322700684,4322.700684
0.043439198,4.335776855,4335.776855
0.041282345,4.336882813,4336.882813
0.043341238,4.339591309,4339.591309
0.041235287,4.34166748,4341.66748
0.043263514,4.342937988,4342.937988
0.041215483,4.346504883,4346.504883
0.043231074,4.349822266,4349.822266
0.041168932,4.352052734,4352.052734
0.043346215,4.385097656,4385.097656
0.041310001,4.386678223,4386.678223
0.043506067,4.397486816,4397.486816
0.041495562,4.420958496,4420.958496
0.04354215,4.465807617,4465.807617
0.041255835,4.467959473,4467.959473
0.043388132,4.46854248,4468.54248
0.041110132,4.469994629,4469.994629000001
0.043287728,4.474734375,4474.734375
0.041184757,4.476208496,4476.208496
0.04344568,4.47675293,4476.75293
0.041342806,4.492498535,4492.498535000001
0.043346025,4.49980957,4499.80957
0.041334815,4.50854248,4508.54248
0.04350508,4.508781738,4508.781738
0.041344382,4.522978027,4522.978027
0.043441989,4.523772949,4523.772948999999
0.041419484,4.524280762,4524.280762
0.043740399,4.526407227,4526.407227
0.044420373,4.573555664,4573.5556639999995
0.042268585,4.557786621,4557.786621
0.044270426,4.563876465,4563.876465
0.042066604,4.563906738,4563.906738
0.04410246,4.566689453,4566.689453
