displacement/mm,force/kN,force/N
0.0,0.342207514,342.207514
0.001,0.359429809,359.429809
0.002,0.497767208,497.76720800000004
0.003,0.535432398,535.4323979999999
0.004,0.7291153140000001,729.1153140000001
0.005,0.738495262,738.495262
0.006,0.828432335,828.432335
0.007,0.890916648,890.916648
0.008,0.945687131,945.687131
0.009,1.072551959,1072.5519590000001
0.01,1.081853265,1081.853265
0.011,1.17465345,1174.65345
0.012,1.269381421,1269.381421
0.013,1.377944557,1377.944557
0.014,1.3866549540000002,1386.654954
0.015,1.4247714880000002,1424.771488
0.016,1.571243748,1571.243748
0.017,1.694972204,1694.972204
0.018,1.785252096,1785.252096
0.019,1.82030734,1820.30734
0.02,1.888641591,1888.641591
0.021,2.043192802,2043.192802
0.022,2.064615095,2064.615095
0.023,2.171863711,2171.863711
0.024,2.181588481,2181.588481
0.025,2.286765313,2286.765313
0.026,2.388177144,2388.177144
0.027,2.4750552750000003,2475.055275
0.028,2.489297953,2489.297953
0.029,2.6231231750000004,2623.123175
0.03,2.655378091,2655.378091
0.031,2.7867038,2786.7038000000002
0.032,2.849579513,2849.579513
0.033,2.900018165,2900.018165
0.034,3.036223183,3036.223183
0.035,3.132320141,3132.320141
0.036,3.1880376520000007,3188.037652000001
0.037,3.189533883,3189.533883
0.038,3.253165402,3253.165402
0.039,3.349286062,3349.286062
0.04,3.490192475,3490.1924750000003
0.041,3.507209301,3507.209301
0.042,3.763790062,3763.790062
0.043,3.839301748,3839.301748
0.044,3.911224074,3911.224074
0.045,4.0067838280000005,4006.7838280000005
0.046,4.070985359,4070.985359
0.047,4.244925087,4244.9250870000005
0.048,4.332935778,4332.935778
0.049,4.350560859000001,4350.560859000001
0.05,4.410869308,4410.869307999999
0.051,4.468606106,4468.606106
0.052,4.628703801,4628.703801000001
0.053,4.654198364,4654.198364
0.054,4.706066311,4706.066311
0.055,4.879822076000001,4879.822076000001
0.056,4.881799954,4881.799954
0.057,4.995737203,4995.737203
0.058,4.999606289000001,4999.606289000001
0.059,5.08823607,5088.23607
0.06,5.140950795,5140.950795
0.061,5.265664066,5265.664066
0.062,5.437211658000001,5437.211658000001
0.063,5.43837778,5438.37778
0.064,5.493135273,5493.135273
0.065,5.532618258,5532.618258
0.066,5.654581636,5654.581636
0.067,5.662708581000001,5662.708581000002
0.068,5.816717099000001,5816.717099
0.069,5.8625693,5862.569299999999
0.07,5.956368733,5956.368732999999
0.071,5.993258338,5993.258338000001
0.072,6.022489376,6022.489376
0.073,6.058167076,6058.167076
0.074,6.085078611,6085.078611
0.075,6.171449251,6171.449251
0.076,6.262295022,6262.295022
0.077,6.402261544,6402.261544
0.078,6.409511228,6409.511228
0.079,6.596419789,6596.419789
0.08,6.61152692,6611.52692
0.081,6.771746581,6771.746581
0.082,6.870137479,6870.137479
0.083,6.9402256520000005,6940.225652
0.084,7.022986279,7022.986279000001
0.085,7.048515565,7048.515565
0.086,7.130436408,7130.436408
0.087,7.144669035,7144.669035
0.088,7.278833949,7278.833949
0.089,7.291037457,7291.037456999999
0.09,7.415165773,7415.165773
0.091,7.449784195999999,7449.784195999999
0.092,7.577514889000001,7577.514889000001
0.093,7.658585506,7658.585505999999
0.094,7.706959569,7706.959569000001
0.095,7.793382945,7793.382945
0.096,7.805141786,7805.141786
0.097,7.930270642000001,7930.270642000001
0.098,8.026570181,8026.570181
0.099,8.056404422,8056.404422
0.1,8.145655566,8145.655566
0.101,8.173336866,8173.336866
0.102,8.22669695,8226.69695
0.103,8.292193583,8292.193583
0.104,8.420448305,8420.448305
0.105,8.424749976,8424.749976
0.106,8.496881554,8496.881554
0.107,8.535113254,8535.113254
0.108,8.641494062,8641.494062
0.109,8.680459789,8680.459789
0.11,8.690236045000002,8690.236045000003
0.111,8.769581384,8769.581384000001
0.112,8.801369435000002,8801.369435000002
0.113,8.927024845,8927.024845
0.114,9.000835687,9000.835687
0.115,9.017102303,9017.102303
0.116,9.068629367,9068.629367
0.117,9.132271879,9132.271879
0.118,9.217945851,9217.945851
0.119,9.297814452,9297.814452
0.12,9.369395977,9369.395977
0.121,9.371369205,9371.369205
0.122,9.493805042,9493.805042
0.123,9.516080478,9516.080478
0.124,9.524421061,9524.421061
0.125,9.601693757,9601.693757
0.126,9.665758969,9665.758969
0.127,9.692797764000002,9692.797764
0.128,9.72051111,9720.51111
0.129,9.78222173,9782.22173
0.13,9.821950282,9821.950282
0.131,9.874036462,9874.036462
0.132,9.943717435,9943.717435
0.133,9.976695556,9976.695555999999
0.134,10.00835675,10008.35675
0.135,10.08793321,10087.93321
0.136,10.09907789,10099.07789
0.137,10.13595556,10135.955559999999
0.138,10.1843848,10184.3848
0.139,10.23502993,10235.029929999999
0.14,10.2929148,10292.9148
0.141,10.31053492,10310.53492
0.142,10.32791386,10327.91386
0.143,10.36940304,10369.40304
0.144,10.39468775,10394.68775
0.145,10.44823295,10448.23295
0.146,10.48380924,10483.809239999999
0.147,10.55068473,10550.68473
0.148,10.55459931,10554.59931
0.149,10.59926807,10599.26807
0.15,10.63847105,10638.47105
0.151,10.67234148,10672.34148
0.152,10.72344888,10723.44888
0.153,10.7341714,10734.1714
0.154,10.768258360000004,10768.258360000003
0.155,10.80814576,10808.145760000001
0.156,10.82139172,10821.39172
0.157,10.86378582,10863.785820000001
0.158,10.87363749,10873.637490000001
0.159,10.889436900000002,10889.436900000002
0.16,10.92735599,10927.35599
0.161,10.97851105,10978.51105
0.162,10.99185391,10991.85391
0.163,11.03383693,11033.83693
0.164,11.05057423,11050.57423
0.165,11.10822972,11108.229720000001
0.166,11.10939399,11109.393989999999
0.167,11.12231792,11122.317920000001
0.168,11.1518331,11151.8331
0.169,11.16436134,11164.36134
0.17,11.20451958,11204.51958
0.171,11.23159709,11231.59709
0.172,11.23584563,11235.84563
0.173,11.26257862,11262.57862
0.174,11.30521394,11305.21394
0.175,11.30787289,11307.87289
0.176,11.32932618,11329.32618
0.177,11.34269627,11342.696269999999
0.178,11.38558993,11385.58993
0.179,11.40832907,11408.32907
0.18,11.42167243,11421.672429999999
0.181,11.43506421,11435.06421
0.182,11.459360210000002,11459.36021
0.183,11.473024,11473.024000000001
0.184,11.5142135,11514.2135
0.185,11.51915235,11519.15235
0.186,11.534945400000002,11534.945400000002
0.187,11.56495,11564.949999999999
0.188,11.59158762,11591.58762
0.189,11.60351555,11603.515549999998
0.19,11.639012,11639.011999999999
0.191,11.64535784,11645.35784
0.192,11.67290816,11672.90816
0.193,11.68157124,11681.571240000001
0.194,11.69343072,11693.43072
0.195,11.71274511,11712.74511
0.196,11.7325999,11732.599900000001
0.197,11.76120413,11761.20413
