"strain,-","stress,MPa","stress,Pa"
0.0,209.77343463503604,209773434.63503605
0.0005,220.35876720144188,220358767.20144188
0.001,228.49545371012317,228495453.71012318
0.0015,234.81501893387497,234815018.93387496
0.002,239.7857631020267,239785763.1020267
0.0025,243.75495482493315,243754954.82493314
0.003,246.98011714915194,246980117.14915195
0.0035,249.65222617470033,249652226.17470032
0.004,251.9129128410026,251912912.84100258
0.0045,253.8672180650383,253867218.0650383
0.005,255.59305069182219,255593050.69182217
0.0055,257.14820058122103,257148200.58122104
0.006,258.57553882886396,258575538.82886395
0.0065,259.9068737471324,259906873.74713242
0.007,261.16581009214997,261165810.09214997
0.0075,262.3698691974094,262369869.1974094
0.008,263.5320610692831,263532061.0692831
0.0085,264.6620501118056,264662050.11180562
0.009,265.7670195270489,265767019.5270489
0.0095,266.8523122829122,266852312.2829122
0.01,267.92190640510205,267921906.40510204
0.0105,268.97876741994816,268978767.41994816
0.011,270.02510970402466,270025109.7040247
0.0115,271.0625902876377,271062590.2876377
0.012,272.0924525723401,272092452.57234013
0.0125,273.1156329092027,273115632.9092027
0.013,274.13283963785904,274132839.63785905
0.0135,275.14461170475585,275144611.70475584
0.014,276.151362138947,276151362.13894695
0.0145,277.15341029933705,277153410.299337
0.015,278.1510057955549,278151005.79555494
0.0155,279.1443462344426,279144346.2344426
0.016,280.13359038787377,280133590.38787377
0.0165,281.11886796514125,281118867.96514124
0.017,282.1002868673011,282100286.8673011
0.0175,283.0779385740724,283077938.5740724
0.018,284.0519021457257,284051902.1457257
0.0185,285.0222471976988,285022247.1976988
0.019,285.98903611321543,285989036.11321545
0.0195,286.95232569062256,286952325.69062257
0.02,287.9121683713206,287912168.3713206
0.0205,288.86861315646706,288868613.1564671
0.021,289.82170629267586,289821706.29267585
0.0215,290.7714917862112,290771491.7862112
0.022,291.71801178980166,291718011.78980166
0.0225,292.66130689480315,292661306.89480317
0.023,293.60141635298874,293601416.3529887
0.0235,294.53837824597406,294538378.24597406
0.024,295.4722296156414,295472229.6156414
0.0245,296.4030065654769,296403006.5654769
0.025,297.33074434018044,297330744.34018046
0.0255,298.25547738901196,298255477.389012
0.026,299.17723941693197,299177239.416932
0.0265,300.0960634265499,300096063.4265499
0.027,301.01198175312334,301011981.75312334
0.0275,301.9250260942739,301925026.0942739
0.028,302.8352275356622,302835227.53566223
0.0285,303.742616573547,303742616.573547
0.029,304.6472231349196,304647223.1349196
0.0295,305.54907659573126,305549076.59573126
0.03,306.44820579760017,306448205.79760015
0.0305,307.3446390632896,307344639.0632896
