"displacement,mm","force,kN","force,N"
0.0,0.00322984,3.22984
0.0310005,1.1136400000000002,1113.64
0.0620038,2.24424,2244.24
0.0929936,3.4293400000000003,3429.34
0.124006,4.399850000000001,4399.85
0.155041,5.63424,5634.24
0.186012,6.667590000000001,6667.59
0.216989,7.712140000000001,7712.14
0.247934,8.38898,8388.98
0.278859,8.87081,8870.81
0.309784,8.99207,8992.07
0.340709,8.98138,8981.38
0.371634,8.978700000000002,8978.7
0.40256,8.972190000000001,8972.19
0.433485,8.962430000000001,8962.43
0.46441,8.946610000000002,8946.61
0.495335,8.92731,8927.31
0.52626,8.903799999999999,8903.8
0.557185,8.87878,8878.78
0.58811,8.851180000000001,8851.18
0.619152,8.82412,8824.12
0.650324,8.79691,8796.91
0.681497,8.76844,8768.44
0.712674,8.73825,8738.25
0.743846,8.70506,8705.06
0.775023,8.668940000000001,8668.94
0.806196,8.62988,8629.88
0.837369,8.58876,8588.76
0.868546,8.54686,8546.86
0.899718,8.504370000000002,8504.37
0.930891,8.46044,8460.44
0.962068,8.4151,8415.1
0.99324,8.36799,8367.99
1.02455,8.318520000000001,8318.52
1.05593,8.26654,8266.54
1.08731,8.21227,8212.27
1.1186,8.156229999999999,8156.23
1.14958,8.097520000000001,8097.52
1.18057,8.0364,8036.4
1.21162,7.971220000000001,7971.22
1.24242,7.90362,7903.62
1.27362,7.830520000000001,7830.52
1.30447,7.7551499999999995,7755.15
1.33558,7.67357,7673.57
1.36656,7.5885,7588.5
1.39755,7.49875,7498.75
1.42859,7.404770000000001,7404.77
1.45949,7.307,7307.0
1.49065,7.20441,7204.41
1.52142,7.09932,7099.32
1.55264,6.98922,6989.22
1.58341,6.8785,6878.5
1.6147,6.7632900000000005,6763.29
1.64545,6.64787,6647.87
1.67666,6.528930000000001,6528.93
1.70753,6.4109,6410.9
1.73857,6.29117,6291.17
1.76964,6.171600000000001,6171.6
1.80034,6.0529,6052.9
1.83171,5.93249,5932.49
1.86242,5.81559,5815.59
1.8936,5.69874,5698.74
1.92474,5.58509,5585.09
1.95529,5.47617,5476.17
1.98675,5.36706,5367.06
2.01756,5.26248,5262.48
2.04768,5.162890000000001,5162.89
2.07952,5.06333,5063.33
2.11044,4.96916,4969.16
2.14085,4.87934,4879.34
2.17253,4.79165,4791.65
2.20345,4.70682,4706.82
2.23425,4.6267700000000005,4626.77
2.265,4.55916,4559.16
2.29628,4.50296,4502.96
2.32629,4.46251,4462.51
2.35887,4.43433,4434.33
2.39078,4.41026,4410.26
2.42104,4.3837600000000005,4383.76
2.45394,4.35717,4357.17
2.48722,4.32973,4329.73
2.5205,4.3056,4305.6
2.55265,4.278180000000001,4278.18
2.58337,4.252890000000001,4252.89
2.61409,4.22533,4225.33
2.6448,4.19876,4198.76
2.67553,4.17024,4170.24
2.70625,4.1387,4138.7
2.73697,4.11493,4114.93
2.76523,4.09102,4091.02
2.79339,4.06215,4062.15
2.82155,4.03794,4037.94
2.84971,4.01187,4011.87
2.88136,3.98516,3985.16
2.91656,3.95552,3955.52
2.95176,3.92427,3924.27
2.98557,3.8988400000000003,3898.84
3.01757,3.86483,3864.83
3.04957,3.8384899999999997,3838.49
3.08157,3.80917,3809.17
3.11356,3.7805400000000002,3780.54
