
                  X             Displacement          Force      

                0.                 0.                 3.22984    
              100.007E-06         31.0005E-03         1.11364E+03
              200.006E-06         62.0038E-03         2.24424E+03
              300.006E-06         92.9936E-03         3.42934E+03
              400.001E-06        124.006E-03          4.39985E+03
              500.014E-06        155.041E-03          5.51772E+03
              600.E-06           186.012E-03          6.09521E+03
              700.001E-06        216.989E-03          6.61684E+03
              800.002E-06        247.965E-03          6.89396E+03
              900.003E-06        278.892E-03          7.09589E+03
                1.E-03           309.817E-03          7.17421E+03
                1.1E-03          340.742E-03          7.19854E+03
                1.2E-03          371.667E-03          7.19195E+03
                1.30001E-03      402.592E-03          7.17682E+03
                1.40001E-03      433.517E-03          7.15933E+03
                1.50001E-03      464.442E-03          7.13983E+03
                1.60001E-03      495.367E-03          7.11957E+03
                1.70001E-03      526.292E-03          7.09746E+03
                1.80001E-03      557.217E-03          7.07455E+03
                1.90001E-03      588.143E-03          7.05021E+03
                2.00001E-03      619.185E-03          7.02452E+03
                2.10001E-03      650.357E-03          6.99735E+03
                2.2E-03          681.53E-03           6.96871E+03
                2.30001E-03      712.707E-03          6.93891E+03
                2.4E-03          743.879E-03          6.9081E+03 
                2.50001E-03      775.056E-03          6.87581E+03
                2.60001E-03      806.229E-03          6.84205E+03
                2.7E-03          837.401E-03          6.80632E+03
                2.80001E-03      868.578E-03          6.76938E+03
                2.90001E-03      899.751E-03          6.73022E+03
                3.E-03           930.924E-03          6.68839E+03
                3.10001E-03      962.101E-03          6.64355E+03
                3.20001E-03      993.273E-03          6.59604E+03
                3.3E-03            1.02458            6.54536E+03
                3.40001E-03        1.05596            6.49209E+03
                3.5E-03            1.08734            6.4349E+03 
                3.60001E-03        1.11847            6.37514E+03
                3.70001E-03        1.14945            6.31186E+03
                3.80001E-03        1.18046            6.24517E+03
                3.90001E-03        1.21149            6.17507E+03
                4.00001E-03        1.24236            6.1023E+03 
                4.10001E-03        1.27348            6.02555E+03
                4.2E-03            1.3043             5.9472E+03 
                4.3E-03            1.33553            5.86475E+03
                4.40001E-03        1.36625            5.78086E+03
                4.50001E-03        1.39749            5.6934E+03 
                4.60001E-03        1.42822            5.60532E+03
                4.70001E-03        1.45954            5.51374E+03
                4.8E-03            1.49023            5.42206E+03
                4.9E-03            1.5215             5.32811E+03
                5.E-03             1.55218            5.23508E+03
                5.10001E-03        1.58354            5.13979E+03
                5.20001E-03        1.61429            5.04583E+03
                5.3E-03            1.64556            4.95152E+03
                5.4E-03            1.67644            4.859E+03  
                5.5E-03            1.70748            4.76764E+03
                5.6E-03            1.73858            4.67755E+03
                5.70001E-03        1.76919            4.59055E+03
                5.8E-03            1.8006             4.50329E+03
                5.9E-03            1.8314             4.41985E+03
                6.E-03             1.86235            4.33823E+03
                6.10001E-03        1.89358            4.25822E+03
                6.2E-03            1.92424            4.1823E+03 
                6.3E-03            1.95544            4.10787E+03
                6.4E-03            1.98668            4.03616E+03
                6.50001E-03        2.01714            3.96823E+03
                6.6E-03            2.04806            3.90249E+03
                6.70001E-03        2.07969            3.83929E+03
                6.80001E-03        2.11015            3.77983E+03
                6.9E-03            2.14078            3.72217E+03
                7.00001E-03        2.17278            3.66579E+03
                7.1E-03            2.20337            3.6128E+03 
                7.2E-03            2.23378            3.56286E+03
                7.3E-03            2.26477            3.51622E+03
                7.4E-03            2.29628            3.47628E+03
                7.5E-03            2.32779            3.4359E+03 
                7.6E-03            2.35926            3.39927E+03
                7.7E-03            2.39078            3.37935E+03
                7.8E-03            2.42065            3.3732E+03 
                7.9E-03            2.45051            3.36305E+03
                8.E-03             2.48038            3.35351E+03
                8.10001E-03        2.51025            3.34171E+03
                8.2E-03            2.5385             3.33058E+03
                8.3E-03            2.56983            3.31825E+03
                8.4E-03            2.60311            3.29957E+03
                8.5E-03            2.63639            3.28369E+03
                8.6E-03            2.66967            3.26739E+03
                8.7E-03            2.70295            3.24554E+03
                8.8E-03            2.73448            3.22997E+03
                8.9E-03            2.7652             3.21508E+03
                9.E-03             2.79592            3.19565E+03
                9.1E-03            2.82664            3.17736E+03
                9.2E-03            2.85736            3.16001E+03
                9.3E-03            2.88808            3.14292E+03
                9.4E-03            2.9188             3.12937E+03
                9.5E-03            2.94932            3.10907E+03
                9.6E-03            2.97748            3.08908E+03
                9.7E-03            3.00564            3.07611E+03
                9.8E-03            3.0338             3.05868E+03
                9.9E-03            3.06196            3.04592E+03
               10.E-03             3.09012            3.0294E+03 




