"strain,-","stress,MPa","stress,Pa"
0.0,1048.461022166669,1048461022.166669
0.0005,1065.3815353410894,1065381535.3410894
0.001,1079.210914894271,1079210914.894271
0.0015,1090.546579245366,1090546579.245366
0.002,1099.8703507040975,1099870350.7040975
0.0025,1107.5708236491844,1107570823.6491845
0.003,1113.9614043842173,1113961404.3842173
0.0035,1119.2948602171682,1119294860.217168
0.004,1123.7750532414861,1123775053.241486
0.0045,1127.5664035892664,1127566403.5892665
0.005,1130.8015215119117,1130801521.5119116
0.0055,1133.5873626268196,1133587362.6268196
0.006,1136.0101921028331,1136010192.102833
0.0065,1138.1395882591198,1138139588.2591197
0.007,1140.031671454464,1140031671.454464
0.0075,1141.731708176067,1141731708.176067
0.008,1143.2762112290116,1143276211.2290115
0.0085,1144.6946335327186,1144694633.5327187
0.009,1146.010734162896,1146010734.162896
0.0095,1147.2436800606497,1147243680.0606496
0.01,1148.4089345581,1148408934.5581
0.0105,1149.5189739722541,1149518973.972254
0.011,1150.5838655365353,1150583865.5365353
0.0115,1151.611733501612,1151611733.501612
0.012,1152.6091350451463,1152609135.0451462
0.0125,1153.5813634427464,1153581363.4427464
0.013,1154.5326925753168,1154532692.575317
0.0135,1155.4665741244091,1155466574.1244092
0.014,1156.3857966105913,1156385796.6105914
0.0145,1157.29261365833,1157292613.6583302
0.015,1158.188847442147,1158188847.442147
0.0155,1159.0759721165434,1159075972.1165435
0.016,1159.955181102881,1159955181.102881
0.0165,1160.8274413569443,1160827441.3569443
0.017,1161.693537136447,1161693537.136447
0.0175,1162.55410530026,1162554105.30026
0.018,1163.4096637779894,1163409663.7779894
0.0185,1164.260634531449,1164260634.531449
0.019,1165.107362073843,1165107362.073843
0.0195,1165.9501284062455,1165950128.4062455
0.02,1166.7891650646266,1166789165.0646265
0.0205,1167.6246628365234,1167624662.8365233
0.021,1168.456779598279,1168456779.598279
0.0215,1169.2856466365045,1169285646.6365044
0.022,1170.1113737470623,1170111373.7470622
0.0225,1170.934053348106,1170934053.3481061
0.023,1171.7537637979472,1171753763.7979472
0.0235,1172.5705720716073,1172570572.0716074
0.024,1173.3845359201318,1173384535.920132
0.0245,1174.1957056127426,1174195705.6127427
0.025,1175.0041253425425,1175004125.3425424
0.0255,1175.8098343608547,1175809834.3608546
0.026,1176.6128678927007,1176612867.8927007
0.0265,1177.4132578757542,1177413257.875754
0.027,1178.2110335569125,1178211033.5569124
0.0275,1179.0062219740335,1179006221.9740334
0.028,1179.798848345038,1179798848.3450382
0.0285,1180.5889363823005,1180588936.3823006
0.029,1181.3765085467671,1181376508.5467672
0.0295,1182.161586253457,1182161586.253457
0.03,1182.9441900377446,1182944190.0377448
0.0305,1183.7243396899983,1183724339.6899981
0.031,1184.5020543646926,1184502054.3646927
0.0315,1185.27735266892,1185277352.66892
0.032,1186.0502527342824,1186050252.7342823
0.0325,1186.8207722753664,1186820772.2753663
