
                  X             Displacement          Force      

                0.                 0.                 3.22984    
              100.007E-06         31.0005E-03         1.11364E+03
              200.006E-06         62.0038E-03         2.24424E+03
              300.006E-06         92.9936E-03         3.42934E+03
              400.001E-06        124.006E-03          4.39985E+03
              500.014E-06        155.041E-03          5.63424E+03
              600.E-06           186.012E-03          6.66759E+03
              700.001E-06        216.989E-03          7.86267E+03
              800.002E-06        247.923E-03          8.92058E+03
              900.003E-06        278.848E-03          9.99928E+03
                1.E-03           309.773E-03         10.5401E+03 
                1.1E-03          340.699E-03         10.7783E+03 
                1.2E-03          371.624E-03         10.8939E+03 
                1.30001E-03      402.549E-03         11.0336E+03 
                1.40001E-03      433.474E-03         11.1082E+03 
                1.50001E-03      464.399E-03         11.173E+03  
                1.60001E-03      495.324E-03         11.2255E+03 
                1.70001E-03      526.249E-03         11.2608E+03 
                1.80001E-03      557.174E-03         11.2922E+03 
                1.90001E-03      588.099E-03         11.3137E+03 
                2.00001E-03      619.141E-03         11.3324E+03 
                2.10001E-03      650.313E-03         11.3473E+03 
                2.2E-03          681.486E-03         11.3569E+03 
                2.30001E-03      712.663E-03         11.365E+03  
                2.4E-03          743.836E-03         11.3711E+03 
                2.50001E-03      775.013E-03         11.3749E+03 
                2.60001E-03      806.185E-03         11.3766E+03 
                2.7E-03          837.358E-03         11.377E+03  
                2.80001E-03      868.535E-03         11.3757E+03 
                2.90001E-03      899.707E-03         11.3731E+03 
                3.E-03           930.88E-03          11.3693E+03 
                3.10001E-03      962.057E-03         11.3642E+03 
                3.20001E-03      993.229E-03         11.358E+03  
                3.3E-03            1.02454           11.3507E+03 
                3.40001E-03        1.05593           11.3422E+03 
                3.5E-03            1.0873            11.3325E+03 
                3.60001E-03        1.11869           11.3218E+03 
                3.70001E-03        1.15007           11.3097E+03 
                3.8E-03            1.18145           11.2959E+03 
                3.90001E-03        1.21283           11.2809E+03 
                4.00001E-03        1.24421           11.2646E+03 
                4.1E-03            1.27559           11.2473E+03 
                4.20001E-03        1.30697           11.2287E+03 
                4.30001E-03        1.33835           11.2088E+03 
                4.4E-03            1.36973           11.1876E+03 
                4.50001E-03        1.40111           11.165E+03  
                4.6E-03            1.43249           11.1408E+03 
                4.70001E-03        1.46387           11.1147E+03 
                4.80001E-03        1.49525           11.086E+03  
                4.9E-03            1.52663           11.0555E+03 
                5.00001E-03        1.55802           11.0235E+03 
                5.10001E-03        1.5894            10.9899E+03 
                5.2E-03            1.62077           10.9547E+03 
                5.30001E-03        1.65216           10.9172E+03 
                5.4E-03            1.68354           10.8775E+03 
                5.50001E-03        1.71492           10.8351E+03 
                5.60001E-03        1.74623           10.7901E+03 
                5.7E-03            1.77719           10.7425E+03 
                5.8E-03            1.80798           10.6925E+03 
                5.90001E-03        1.83922           10.6388E+03 
                6.E-03             1.86999           10.5828E+03 
                6.10001E-03        1.90118           10.5229E+03 
                6.20001E-03        1.93208           10.4603E+03 
                6.3E-03            1.96316           10.3936E+03 
                6.40001E-03        1.99415           10.3235E+03 
                6.50001E-03        2.02507           10.2498E+03 
                6.60001E-03        2.0563            10.1716E+03 
                6.7E-03            2.08717           10.0899E+03 
                6.8E-03            2.11811           10.0037E+03 
                6.90001E-03        2.14921            9.91294E+03
                7.00001E-03        2.18011            9.81897E+03
                7.1E-03            2.21123            9.71931E+03
                7.20001E-03        2.24205            9.61698E+03
                7.3E-03            2.27323            9.5102E+03 
                7.4E-03            2.30424            9.40009E+03
                7.5E-03            2.33503            9.28715E+03
                7.6E-03            2.3663             9.17006E+03
                7.70001E-03        2.39702            9.05137E+03
                7.8E-03            2.4282             8.92748E+03
                7.9E-03            2.45984            8.79895E+03
                8.E-03             2.49107            8.67122E+03
                8.1E-03            2.52094            8.5455E+03 
                8.2E-03            2.55163            8.418E+03  
                8.30001E-03        2.58363            8.28232E+03
                8.4E-03            2.61534            8.15004E+03
                8.5E-03            2.64574            8.02091E+03
                8.6E-03            2.67614            7.89509E+03
                8.7E-03            2.70577            7.76901E+03
                8.8E-03            2.73869            7.633E+03  
                8.9E-03            2.77028            7.50094E+03
                9.E-03             2.80136            7.37287E+03
                9.1E-03            2.83206            7.24846E+03
                9.2E-03            2.86131            7.12734E+03
                9.3E-03            2.89079            7.00916E+03
                9.4E-03            2.92406            6.87624E+03
                9.5E-03            2.95607            6.74746E+03
                9.6E-03            2.98807            6.62245E+03
                9.7E-03            3.01911            6.50097E+03
                9.8E-03            3.04898            6.38305E+03
                9.9E-03            3.07885            6.26823E+03
               10.E-03             3.10871            6.15694E+03




