
                  X             Displacement          Force      

                0.                 0.                 3.12565    
              100.007E-06         30.0013E-03         1.07772E+03
              200.006E-06         60.0055E-03         2.17217E+03
              300.006E-06         89.9964E-03         2.73815E+03
              400.007E-06        119.974E-03          3.08309E+03
              500.005E-06        149.978E-03          3.29594E+03
              600.006E-06        179.93E-03           3.43309E+03
              700.006E-06        209.882E-03          3.53005E+03
              800.007E-06        239.834E-03          3.61242E+03
              900.008E-06        269.821E-03          3.68006E+03
                1.00001E-03      299.825E-03          3.73926E+03
                1.10001E-03      329.828E-03          3.79207E+03
                1.20001E-03      359.736E-03          3.83594E+03
                1.30001E-03      389.637E-03          3.87619E+03
                1.40001E-03      419.538E-03          3.91515E+03
                1.50001E-03      449.439E-03          3.94856E+03
                1.60001E-03      479.34E-03           3.97633E+03
                1.70001E-03      509.241E-03          4.00593E+03
                1.8E-03          539.138E-03          4.02939E+03
                1.9E-03          569.039E-03          4.05439E+03
                2.E-03           599.053E-03          4.07442E+03
                2.10001E-03      629.197E-03          4.09604E+03
                2.20001E-03      659.338E-03          4.1141E+03 
                2.3E-03          689.478E-03          4.13101E+03
                2.40001E-03      719.623E-03          4.14805E+03
                2.5E-03          749.763E-03          4.16312E+03
                2.60001E-03      779.908E-03          4.17675E+03
                2.70001E-03      810.048E-03          4.19005E+03
                2.8E-03          840.188E-03          4.20271E+03
                2.90001E-03      870.333E-03          4.21437E+03
                3.00001E-03      900.473E-03          4.22503E+03
                3.1E-03          930.614E-03          4.23495E+03
                3.20001E-03      960.758E-03          4.24422E+03
                3.30001E-03      990.899E-03          4.2529E+03 
                3.4E-03            1.02104            4.26099E+03
                3.50001E-03        1.05118            4.26852E+03
                3.6E-03            1.08132            4.27549E+03
                3.70001E-03        1.11147            4.28193E+03
                3.80001E-03        1.14161            4.28783E+03
                3.9E-03            1.17175            4.29325E+03
                4.00001E-03        1.20189            4.29816E+03
                4.10001E-03        1.23203            4.30261E+03
                4.2E-03            1.26217            4.30659E+03
                4.30001E-03        1.2922             4.31013E+03
                4.4E-03            1.32192            4.31322E+03
                4.5E-03            1.35165            4.31589E+03
                4.60001E-03        1.38138            4.31813E+03
                4.7E-03            1.41111            4.31995E+03
                4.80001E-03        1.44084            4.32135E+03
                4.90001E-03        1.47076            4.32235E+03
                5.00001E-03        1.50105            4.32296E+03
                5.1E-03            1.53134            4.32312E+03
                5.20001E-03        1.56164            4.3228E+03 
                5.30001E-03        1.59193            4.32202E+03
                5.4E-03            1.62222            4.32081E+03
                5.5E-03            1.65251            4.31916E+03
                5.60001E-03        1.68281            4.31711E+03
                5.70001E-03        1.7131             4.31464E+03
                5.8E-03            1.74339            4.31172E+03
                5.90001E-03        1.77369            4.30839E+03
                6.00001E-03        1.80398            4.30461E+03
                6.1E-03            1.83427            4.30042E+03
                6.2E-03            1.86447            4.29578E+03
                6.30001E-03        1.89434            4.29068E+03
                6.40001E-03        1.9242             4.28515E+03
                6.5E-03            1.95407            4.27913E+03
                6.60001E-03        1.98394            4.2724E+03 
                6.70001E-03        2.0138             4.26512E+03
                6.80001E-03        2.04367            4.2574E+03 
                6.9E-03            2.07353            4.24921E+03
                7.00001E-03        2.1034             4.24055E+03
                7.10001E-03        2.13327            4.23134E+03
                7.2E-03            2.16313            4.22158E+03
                7.3E-03            2.193              4.21124E+03
                7.40001E-03        2.22287            4.20028E+03
                7.50001E-03        2.25273            4.18859E+03
                7.6E-03            2.2826             4.17606E+03
                7.70001E-03        2.31247            4.16278E+03
                7.80001E-03        2.34233            4.14873E+03
                7.9E-03            2.3722             4.13388E+03
                8.E-03             2.40207            4.11822E+03
                8.10001E-03        2.43194            4.10166E+03
                8.20001E-03        2.4618             4.08425E+03
                8.3E-03            2.49167            4.06592E+03
                8.40001E-03        2.52154            4.04666E+03
                8.50001E-03        2.55101            4.02649E+03
                8.60001E-03        2.58063            4.00514E+03
                8.7E-03            2.61135            3.98193E+03
                8.80001E-03        2.64152            3.95791E+03
                8.90001E-03        2.67103            3.93323E+03
                9.00001E-03        2.70073            3.90738E+03
                9.1E-03            2.73128            3.8792E+03 
                9.20001E-03        2.76139            3.85029E+03
                9.3E-03            2.79093            3.82077E+03
                9.4E-03            2.821              3.78913E+03
                9.50001E-03        2.85155            3.75589E+03
                9.60001E-03        2.88142            3.72206E+03
                9.70001E-03        2.91055            3.6877E+03 
                9.8E-03            2.94129            3.65053E+03
                9.9E-03            2.97155            3.61228E+03
               10.E-03             3.0014             3.57373E+03




