"displacement,mm","force,kN","force,N"
0.0,0.0031256499999999998,3.12565
0.0300013,1.07772,1077.72
0.0600055,2.17217,2172.17
0.0899964,3.3191300000000004,3319.13
0.120005,4.25807,4258.07
0.150013,5.45308,5453.08
0.179965,6.45343,6453.43
0.209917,7.139220000000001,7139.22
0.23987,7.65016,7650.16
0.269824,8.1492,8149.2
0.299725,8.500200000000001,8500.2
0.329622,8.754959999999999,8754.96
0.359523,8.93572,8935.72
0.389424,9.13461,9134.61
0.419325,9.27591,9275.91
0.449226,9.403350000000001,9403.35
0.479127,9.52198,9521.98
0.509028,9.627469999999999,9627.47
0.538929,9.723030000000001,9723.03
0.56883,9.79848,9798.48
0.598844,9.8809,9880.9
0.628985,9.94383,9943.83
0.659129,10.0124,10012.4
0.68927,10.068200000000001,10068.2
0.71941,10.1199,10119.9
0.749555,10.171,10171.0
0.779695,10.2188,10218.8
0.80984,10.2619,10261.9
0.83998,10.3011,10301.1
0.87012,10.3376,10337.6
0.900265,10.3713,10371.3
0.930405,10.4024,10402.4
0.960546,10.4311,10431.1
0.99069,10.4585,10458.5
1.02083,10.4849,10484.9
1.05097,10.509,10509.0
1.08112,10.5302,10530.2
1.11126,10.5504,10550.4
1.1414,10.569799999999999,10569.8
1.17154,10.586500000000001,10586.5
1.20168,10.602500000000001,10602.5
1.23183,10.617,10617.0
1.26197,10.6299,10629.9
1.29211,10.642,10642.0
1.32225,10.6523,10652.3
1.35239,10.6619,10661.9
1.38246,10.6699,10669.9
1.41219,10.6769,10676.9
1.44192,10.6829,10682.9
1.47165,10.6875,10687.5
1.50138,10.6912,10691.2
1.53111,10.6938,10693.8
1.56109,10.695200000000002,10695.2
1.59139,10.695500000000001,10695.5
1.62168,10.6945,10694.5
1.65198,10.6923,10692.3
1.68227,10.689,10689.0
1.71256,10.684600000000001,10684.6
1.74286,10.679,10679.0
1.77315,10.6722,10672.2
1.80344,10.664299999999999,10664.3
1.83373,10.6552,10655.2
1.86403,10.6449,10644.9
1.89432,10.6334,10633.4
1.92461,10.620600000000001,10620.6
1.95491,10.606100000000001,10606.1
1.98495,10.59,10590.0
2.01482,10.572799999999999,10572.8
2.04468,10.554200000000002,10554.2
2.07455,10.5343,10534.3
2.10442,10.5129,10512.9
2.13428,10.49,10490.0
2.16415,10.4655,10465.5
2.19402,10.439,10439.0
2.22388,10.4104,10410.4
2.25375,10.3798,10379.8
2.28362,10.347299999999999,10347.3
2.31348,10.312700000000001,10312.7
2.34335,10.276,10276.0
2.37322,10.237200000000001,10237.2
2.40308,10.1959,10195.9
2.43295,10.1521,10152.1
2.46282,10.1058,10105.8
2.49268,10.056799999999999,10056.8
2.52255,10.0054,10005.4
2.55187,9.95173,9951.73
2.58241,9.893049999999999,9893.05
2.61258,9.83111,9831.11
2.64245,9.76699,9766.99
2.67171,9.70073,9700.73
2.7024,9.62739,9627.39
2.73251,9.55199,9551.99
2.76205,9.47479,9474.79
2.79216,9.39139,9391.39
2.82261,9.30368,9303.68
2.85248,9.21416,9214.16
2.88153,9.12261,9122.61
2.91249,9.02221,9022.21
2.94274,8.92089,8920.89
2.97201,8.819049999999999,8819.05
3.00193,8.71284,8712.84
