"strain,-","stress,MPa","stress,Pa"
0.0,585.8054095907768,585805409.5907768
0.002,740.396821084733,740396821.084733
0.004,805.925049188068,805925049.188068
0.006,849.773231105069,849773231.105069
0.008,883.2379946927239,883237994.6927239
0.01,910.5134191654329,910513419.1654329
0.012,933.6464044673887,933646404.4673887
0.014,953.7978545609724,953797854.5609723
0.016,971.6930279655938,971693027.9655938
0.018,987.8168707807066,987816870.7807066
0.02,1002.5104443392405,1002510444.3392406
0.022,1016.0231823890385,1016023182.3890386
0.024,1028.5432895391184,1028543289.5391184
0.026,1040.2164386265356,1040216438.6265355
0.028,1051.1578021345247,1051157802.1345247
0.03,1061.460088732697,1061460088.7326969
0.032,1071.1990827370646,1071199082.7370646
0.034,1080.4375661763559,1080437566.1763558
0.036,1089.2281608153778,1089228160.8153777
0.038,1097.6154296433592,1097615429.6433592
0.04,1105.6374587243008,1105637458.7243009
0.042,1113.3270668852072,1113327066.8852072
0.044,1120.7127439722212,1120712743.9722211
0.046,1127.819387889851,1127819387.889851
0.048,1134.6688902694991,1134668890.269499
0.05,1141.2806067414313,1141280606.7414312
0.052,1147.671738163923,1147671738.163923
0.054,1153.8576423806455,1153857642.3806455
0.056,1159.8520912227768,1159852091.222777
0.058,1165.6674839495615,1165667483.9495616
0.06,1171.3150257320185,1171315025.7320185
0.062,1176.8048778593102,1176804877.8593102
0.064,1182.1462849001157,1182146284.9001157
0.066,1187.34768295247,1187347682.95247
0.068,1192.416792273254,1192416792.273254
0.07,1197.3606969272578,1197360696.9272578
0.072,1202.1859135880013,1202185913.5880013
0.074,1206.898451223614,1206898451.223614
0.076,1211.5038630854388,1211503863.0854387
0.078,1216.0072921655376,1216007292.1655376
0.08,1220.4135110876334,1220413511.0876334
0.082,1224.7269572333473,1224726957.2333474
0.084,1228.9517637735914,1228951763.7735915
0.086,1233.0917871673116,1233091787.1673117
0.088,1237.150631601465,1237150631.601465
0.09,1241.131670773363,1241131670.773363
0.092,1245.038067356268,1245038067.356268
0.094,1248.8727904390294,1248872790.4390295
0.096,1252.6386311887215,1252638631.1887217
0.098,1256.3382169501506,1256338216.9501505
0.1,1259.9740239665753,1259974023.9665751
0.102,1263.5483888810325,1263548388.8810325
0.104,1267.0635191565052,1267063519.156505
0.106,1270.5215025351697,1270521502.5351696
0.108,1273.92431564159,1273924315.64159
0.11,1277.2738318215888,1277273831.8215888
0.112,1280.5718282972011,1280571828.2972012
0.114,1283.8199927084067,1283819992.7084067
0.116,1287.0199291039232,1287019929.1039233
0.118,1290.1731634360565,1290173163.4360564
0.12,1293.2811486082967,1293281148.6082966
0.122,1296.3452691188336,1296345269.1188335
0.124,1299.3668453383714,1299366845.3383713
0.126,1302.347137456419,1302347137.456419
0.128,1305.287349126556,1305287349.126556
0.13,1308.1886308379342,1308188630.8379343
0.132,1311.0520830374337,1311052083.0374336
0.134,1313.8787590243783,1313878759.0243783
0.136,1316.6696676374927,1316669667.6374927
0.138,1319.4257757518264,1319425775.7518265
0.14,1322.1480106016174,1322148010.6016173
0.142,1324.8372619435174,1324837261.9435174
0.144,1327.4943840732312,1327494384.0732312
0.146,1330.1201977073797,1330120197.7073798
0.148,1332.7154917413018,1332715491.7413018
0.15,1335.2810248925277,1335281024.8925278
0.152,1337.8175272387716,1337817527.2387717
0.154,1340.3257016585005,1340325701.6585004
0.156,1342.806225181427,1342806225.181427
0.158,1345.2597502556318,1345259750.255632
0.16,1347.6869059374428,1347686905.9374428
0.162,1350.088299009681,1350088299.009681
0.164,1352.4645150334095,1352464515.0334096
0.166,1354.8161193378958,1354816119.3378959
0.168,1357.1436579531126,1357143657.9531126
0.17,1359.4476584887527,1359447658.4887526
0.172,1361.7286309634123,1361728630.9634123
0.174,1363.9870685873138,1363987068.587314
0.176,1366.223448501666,1366223448.501666
0.178,1368.4382324775327,1368438232.4775326
0.18,1370.6318675768487,1370631867.5768487
0.182,1372.8047867780303,1372804786.7780304
0.184,1374.9574095684443,1374957409.5684443
0.186,1377.0901425058246,1377090142.5058246
0.188,1379.2033797505856,1379203379.7505856
0.19,1381.2975035708237,1381297503.5708237
0.192,1383.3728848216883,1383372884.8216884
0.194,1385.429883400667,1385429883.400667
0.196,1387.4688486802338,1387468848.6802337
0.198,1389.490119919204,1389490119.919204
0.2,1391.4940266540436,1391494026.6540437
0.202,1393.4808890713025,1393480889.0713024
0.204,1395.4510183622588,1395451018.3622587
0.206,1397.4047170607864,1397404717.0607865
0.208,1399.3422793653956,1399342279.3653955
0.21,1401.2639914463332,1401263991.4463332
0.212,1403.1701317385662,1403170131.7385662
0.214,1405.0609712214296,1405060971.2214296
0.216,1406.9367736856582,1406936773.6856582
0.218,1408.7977959884881,1408797795.9884882
0.22,1410.6442882974575,1410644288.2974575
0.222,1412.4764943235125,1412476494.3235126
0.224,1414.2946515439758,1414294651.5439758
0.226,1416.098991415901,1416098991.4159012
0.228,1417.8897395803156,1417889739.5803156
0.23,1419.6671160578117,1419667116.0578117
0.232,1421.431335435927,1421431335.435927
0.234,1423.182607048724,1423182607.0487242
0.236,1424.9211351489585,1424921135.1489584
0.238,1426.647119073203,1426647119.0732028
0.24,1428.360753400268,1428360753.400268
0.242,1430.06222810325,1430062228.10325
0.244,1431.7517286955065,1431751728.6955066
0.246,1433.4294363708564,1433429436.3708563
0.248,1435.0955281382721,1435095528.138272
0.25,1436.7501769513265,1436750176.9513264
0.252,1438.393551832636,1438393551.8326359
0.254,1440.0258179935336,1440025817.9935336
0.256,1441.6471369491908,1441647136.9491909
0.258,1443.2576666293921,1443257666.6293921
0.26,1444.857561485163,1444857561.485163
0.262,1446.4469725914335,1446446972.5914335
0.264,1448.0260477459165,1448026047.7459164
0.266,1449.594931564366,1449594931.564366
0.268,1451.153765572375,1451153765.572375
0.27,1452.702688293862,1452702688.2938619
0.272,1454.241835336392,1454241835.336392
0.274,1455.771339473463,1455771339.473463
0.276,1457.2913307238932,1457291330.7238932
0.278,1458.8019364284253,1458801936.4284253
0.28,1460.3032813236682,1460303281.3236682
0.282,1461.795487613487,1461795487.613487
0.284,1463.2786750379435,1463278675.0379434
0.286,1464.7529609398919,1464752960.9398918
0.288,1466.218460329324,1466218460.329324
0.29,1467.6752859455519,1467675285.9455519
0.292,1469.1235483173195,1469123548.3173196
0.294,1470.563355820925,1470563355.820925
0.296,1471.9948147364273,1471994814.7364273
0.298,1473.4180293020224,1473418029.3020225
0.3,1474.8331017666503,1474833101.7666502
0.302,1476.24013244091,1476240132.4409099
0.304,1477.6392197463415,1477639219.7463415
0.306,1479.0304602631425,1479030460.2631423
0.308,1480.4139487763753,1480413948.7763753
0.31,1481.7897783207245,1481789778.3207245
0.312,1483.1580402238562,1483158040.2238562
0.314,1484.5188241484366,1484518824.1484365
0.316,1485.8722181328521,1485872218.132852
0.318,1487.2183086306877,1487218308.6306877
0.32,1488.5571805490006,1488557180.5490005
0.322,1489.88891728544,1489888917.28544
0.324,1491.2136007642496,1491213600.7642496
0.326,1492.5313114711971,1492531311.4711971
0.328,1493.8421284874664,1493842128.4874663
0.33,1495.1461295225504,1495146129.5225503
0.332,1496.443390946179,1496443390.9461792
0.334,1497.7339878193193,1497733987.8193192
0.336,1499.017993924273,1499017993.924273
0.338,1500.2954817939133,1500295481.7939134
0.34,1501.5665227400805,1501566522.7400804
0.342,1502.8311868811713,1502831186.8811712
0.344,1504.0895431689476,1504089543.1689475
0.346,1505.341659414591,1505341659.414591
0.348,1506.587602314029,1506587602.314029
0.35,1507.8274374725577,1507827437.4725578
0.352,1509.0612294287814,1509061229.4287815
0.354,1510.2890416778976,1510289041.6778975
0.356,1511.5109366943425,1511510936.6943424
0.358,1512.7269759538233,1512726975.9538233
0.36,1513.937219954753,1513937219.954753
0.362,1515.1417282391112,1515141728.2391112
0.364,1516.340559412745,1516340559.412745
0.366,1517.5337711651316,1517533771.1651316
0.368,1518.721420288619,1518721420.2886188
0.37,1519.9035626971574,1519903562.6971574
0.372,1521.0802534445463,1521080253.4445462
0.374,1522.2515467422006,1522251546.7422006
0.376,1523.4174959764628,1523417495.9764628
0.378,1524.5781537254638,1524578153.7254639
0.38,1525.733571775558,1525733571.775558
0.382,1526.8838011373343,1526883801.1373343
0.384,1528.028892061226,1528028892.0612261
0.386,1529.1688940527242,1529168894.0527241
0.388,1530.3038558872104,1530303855.8872104
0.39,1531.4338256244196,1531433825.6244195
0.392,1532.5588506225456,1532558850.6225457
0.394,1533.6789775519942,1533678977.551994
0.396,1534.7942524088037,1534794252.4088037
0.398,1535.9047205277323,1535904720.5277321
0.4,1537.0104265950304,1537010426.5950303
0.402,1538.111414660904,1538111414.6609042
0.404,1539.207728151675,1539207728.151675
0.406,1540.299409881653,1540299409.881653
0.408,1541.3865020647238,1541386502.0647237
0.41,1542.4690463256604,1542469046.3256605
0.412,1543.5470837111702,1543547083.7111702
0.414,1544.620654700681,1544620654.700681
0.416,1545.6897992168736,1545689799.2168736
0.418,1546.7545566359727,1546754556.6359727
0.42,1547.8149657977956,1547814965.7977955
0.422,1548.871065015571,1548871065.015571
0.424,1549.9228920855346,1549922892.0855346
0.426,1550.9704842963006,1550970484.2963006
0.428,1552.0138784380256,1552013878.4380255
0.43,1553.0531108113612,1553053110.811361
0.432,1554.0882172362064,1554088217.2362065
0.434,1555.119233060266,1555119233.060266
0.436,1556.1461931674132,1556146193.1674132
0.438,1557.169131985872,1557169131.9858718
0.44,1558.188083496213,1558188083.496213
0.442,1559.2030812391797,1559203081.2391796
0.444,1560.2141583233372,1560214158.323337
0.446,1561.2213474325579,1561221347.4325578
0.448,1562.2246808333432,1562224680.8333433
0.45,1563.224190381988,1563224190.3819878
0.452,1564.2199075315891,1564219907.531589
0.454,1565.211863338906,1565211863.3389058
0.456,1566.2000884710728,1566200088.471073
0.458,1567.18461321217,1567184613.2121701
0.46,1568.165467469655,1568165467.4696548
0.462,1569.1426807806592,1569142680.7806592
0.464,1570.1162823181514,1570116282.3181515
0.466,1571.0863008969748,1571086300.8969748
0.468,1572.052764979755,1572052764.979755
0.47,1573.0157026826903,1573015702.6826904
0.472,1573.9751417812183,1573975141.7812183
0.474,1574.9311097155694,1574931109.7155695
0.476,1575.8836335962053,1575883633.5962052
0.478,1576.8327402091463,1576832740.2091463
0.48,1577.778456021193,1577778456.021193
0.482,1578.7208071850405,1578720807.1850405
0.484,1579.6598195442898,1579659819.5442898
0.486,1580.5955186383608,1580595518.6383607
0.488,1581.5279297073052,1581527929.7073052
0.49,1582.4570776965256,1582457077.6965256
0.492,1583.3829872613996,1583382987.2613997
0.494,1584.305682771815,1584305682.771815
0.496,1585.2251883166145,1585225188.3166146
0.498,1586.1415277079536,1586141527.7079537
0.5,1587.054724485574,1587054724.485574
0.505,1589.324119564982,1589324119.5649822
0.51,1591.5743745112457,1591574374.5112457
0.515,1593.8058358707228,1593805835.8707228
0.52,1596.0188406282866,1596018840.6282866
0.525,1598.2137165600905,1598213716.5600905
0.53,1600.3907825701008,1600390782.5701008
0.535,1602.550349011284,1602550349.0112839
0.54,1604.692717992289,1604692717.992289
0.545,1606.8181836704057,1606818183.6704056
0.55,1608.9270325315324,1608927032.5315323
0.555,1611.019543657842,1611019543.657842
0.56,1613.0959889837923,1613095988.9837923
0.565,1615.1566335410873,1615156633.5410874
0.57,1617.2017356931601,1617201735.69316
0.575,1619.2315473597112,1619231547.3597112
0.58,1621.246314231808,1621246314.231808
0.585,1623.246275978021,1623246275.978021
0.59,1625.2316664420396,1625231666.4420395
0.595,1627.2027138321928,1627202713.832193
0.6,1629.1596409032686,1629159640.9032686
0.605,1631.1026651310076,1631102665.1310077
0.61,1633.0319988796223,1633031998.8796222
0.615,1634.9478495626784,1634947849.5626783
0.62,1636.8504197976495,1636850419.7976494
0.625,1638.7399075544447,1638739907.5544448
0.63,1640.6165062981909,1640616506.2981908
0.635,1642.480405126533,1642480405.126533
0.64,1644.331788901706,1644331788.901706
0.645,1646.1708383776172,1646170838.3776171
0.65,1647.9977303221642,1647997730.3221643
