
                  X             Displacement          Force      

                0.                 0.                 3.12565    
              100.007E-06         30.0013E-03         1.07772E+03
              200.006E-06         60.0055E-03         2.17217E+03
              300.006E-06         89.9964E-03         3.31913E+03
              400.012E-06        120.005E-03          4.25807E+03
              500.01E-06         150.013E-03          5.45308E+03
              600.011E-06        179.965E-03          6.21012E+03
              700.012E-06        209.917E-03          6.65295E+03
              800.012E-06        239.87E-03           7.08248E+03
              900.013E-06        269.858E-03          7.34622E+03
                1.00001E-03      299.765E-03          7.54778E+03
                1.1E-03          329.662E-03          7.71747E+03
                1.2E-03          359.563E-03          7.84114E+03
                1.3E-03          389.464E-03          7.95281E+03
                1.4E-03          419.365E-03          8.04864E+03
                1.5E-03          449.266E-03          8.12983E+03
                1.6E-03          479.167E-03          8.19844E+03
                1.7E-03          509.068E-03          8.26804E+03
                1.80001E-03      538.969E-03          8.32233E+03
                1.90001E-03      568.87E-03           8.37359E+03
                2.00001E-03      598.884E-03          8.42244E+03
                2.1E-03          629.025E-03          8.46638E+03
                2.20001E-03      659.169E-03          8.50538E+03
                2.30001E-03      689.309E-03          8.5413E+03 
                2.4E-03          719.45E-03           8.57373E+03
                2.50001E-03      749.595E-03          8.60278E+03
                2.6E-03          779.735E-03          8.62907E+03
                2.70001E-03      809.88E-03           8.65352E+03
                2.80001E-03      840.02E-03           8.67695E+03
                2.9E-03          870.16E-03           8.69814E+03
                3.00001E-03      900.305E-03          8.71613E+03
                3.10001E-03      930.445E-03          8.73348E+03
                3.2E-03          960.586E-03          8.74954E+03
                3.30001E-03      990.73E-03           8.76294E+03
                3.40001E-03        1.02087            8.77611E+03
                3.5E-03            1.05101            8.78692E+03
                3.60001E-03        1.08116            8.79717E+03
                3.7E-03            1.1113             8.80549E+03
                3.80001E-03        1.14144            8.81315E+03
                3.90001E-03        1.17158            8.81922E+03
                4.E-03             1.20172            8.82426E+03
                4.10001E-03        1.23171            8.82828E+03
                4.20001E-03        1.26144            8.83101E+03
                4.3E-03            1.29116            8.83268E+03
                4.40001E-03        1.3209             8.8332E+03 
                4.5E-03            1.35062            8.83257E+03
                4.6E-03            1.38035            8.83093E+03
                4.70001E-03        1.41008            8.82826E+03
                4.8E-03            1.43981            8.82453E+03
                4.90001E-03        1.46954            8.81978E+03
                5.00001E-03        1.49927            8.814E+03  
                5.1E-03            1.529              8.80718E+03
                5.20001E-03        1.55873            8.79933E+03
                5.30001E-03        1.58846            8.79042E+03
                5.4E-03            1.61815            8.78042E+03
                5.5E-03            1.64833            8.76852E+03
                5.60001E-03        1.67862            8.75525E+03
                5.70001E-03        1.70891            8.74091E+03
                5.8E-03            1.73921            8.72537E+03
                5.90001E-03        1.7695             8.70874E+03
                6.00001E-03        1.79979            8.69081E+03
                6.1E-03            1.83009            8.67155E+03
                6.2E-03            1.86038            8.65086E+03
                6.30001E-03        1.89068            8.62846E+03
                6.40001E-03        1.92097            8.60422E+03
                6.5E-03            1.95126            8.57831E+03
                6.60001E-03        1.98156            8.55069E+03
                6.70001E-03        2.01184            8.52137E+03
                6.80001E-03        2.04171            8.49033E+03
                6.9E-03            2.07157            8.45737E+03
                7.00001E-03        2.10144            8.42243E+03
                7.10001E-03        2.13131            8.38546E+03
                7.2E-03            2.16117            8.34632E+03
                7.3E-03            2.19104            8.30508E+03
                7.40001E-03        2.22091            8.26168E+03
                7.50001E-03        2.25077            8.21646E+03
                7.6E-03            2.28088            8.16815E+03
                7.70001E-03        2.31078            8.11803E+03
                7.80001E-03        2.34092            8.06449E+03
                7.9E-03            2.37062            8.00925E+03
                8.E-03             2.40027            7.95163E+03
                8.10001E-03        2.43079            7.88896E+03
                8.20001E-03        2.46064            7.82483E+03
                8.3E-03            2.48999            7.75934E+03
                8.4E-03            2.52062            7.68757E+03
                8.5E-03            2.5508             7.61371E+03
                8.6E-03            2.58047            7.5386E+03 
                8.70001E-03        2.6101             7.46057E+03
                8.80001E-03        2.64077            7.37708E+03
                8.9E-03            2.67093            7.29307E+03
                9.E-03             2.70002            7.20885E+03
                9.1E-03            2.73031            7.11949E+03
                9.2E-03            2.76103            7.02692E+03
                9.3E-03            2.7907             6.93478E+03
                9.4E-03            2.81982            6.84334E+03
                9.5E-03            2.85073            6.74423E+03
                9.6E-03            2.88091            6.64539E+03
                9.7E-03            2.91078            6.54826E+03
                9.8E-03            2.93934            6.45263E+03
                9.9E-03            2.97015            6.3514E+03 
               10.E-03             3.00087            6.24864E+03




