"displacement,mm","force,kN","force,N"
0.0,0.0031256499999999998,3.12565
0.0300013,1.07772,1077.72
0.0600055,2.17217,2172.17
0.0899964,3.3191300000000004,3319.13
0.120005,4.25807,4258.07
0.150013,5.4474,5447.4
0.179965,6.098020000000001,6098.02
0.209917,6.51253,6512.53
0.23987,6.87015,6870.15
0.269854,7.12404,7124.04
0.299755,7.34195,7341.95
0.329651,7.48639,7486.39
0.359552,7.6232500000000005,7623.25
0.389453,7.738630000000001,7738.63
0.419354,7.83579,7835.79
0.449255,7.93119,7931.19
0.479156,8.00364,8003.64
0.509057,8.07614,8076.14
0.538958,8.13256,8132.56
0.568859,8.192860000000001,8192.86
0.598874,8.24712,8247.12
0.629014,8.293379999999999,8293.38
0.659159,8.336030000000001,8336.03
0.689299,8.37641,8376.41
0.719439,8.4137,8413.7
0.749584,8.44821,8448.21
0.779724,8.47988,8479.88
0.809869,8.508280000000001,8508.28
0.840009,8.5344,8534.4
0.87015,8.56017,8560.17
0.900294,8.58416,8584.16
0.930435,8.604540000000002,8604.54
0.960575,8.62488,8624.88
0.99072,8.64341,8643.41
1.02086,8.65975,8659.75
1.051,8.675930000000001,8675.93
1.08115,8.689620000000001,8689.62
1.11129,8.703100000000001,8703.1
1.14143,8.714590000000001,8714.59
1.17157,8.72549,8725.49
1.20171,8.735,8735.0
1.23186,8.74341,8743.41
1.262,8.751059999999999,8751.06
1.29214,8.75733,8757.33
1.32198,8.76272,8762.72
1.3517,8.767290000000001,8767.29
1.38143,8.770760000000001,8770.76
1.41116,8.77326,8773.26
1.44089,8.7749,8774.9
1.47062,8.77557,8775.57
1.50035,8.77516,8775.16
1.53008,8.77383,8773.83
1.55981,8.77158,8771.58
1.58954,8.76841,8768.41
1.61926,8.76436,8764.36
1.64891,8.75939,8759.39
1.67908,8.75334,8753.34
1.70937,8.74625,8746.25
1.73967,8.73823,8738.23
1.76996,8.729180000000001,8729.18
1.80025,8.719059999999999,8719.06
1.83055,8.707600000000001,8707.6
1.86084,8.69458,8694.58
1.8911,8.68075,8680.75
1.92097,8.66586,8665.86
1.95084,8.649870000000002,8649.87
1.9807,8.632760000000001,8632.76
2.01057,8.61433,8614.33
2.04044,8.594719999999999,8594.72
2.0703,8.57374,8573.74
2.10017,8.551,8551.0
2.13003,8.526580000000001,8526.58
2.1599,8.50054,8500.54
2.18977,8.47288,8472.88
2.21963,8.44355,8443.55
2.2495,8.41246,8412.46
2.27937,8.3796,8379.6
2.30923,8.34476,8344.76
2.3391,8.30784,8307.84
2.36897,8.26891,8268.91
2.39884,8.227879999999999,8227.88
2.4287,8.18497,8184.97
2.45783,8.14032,8140.32
2.48856,8.09109,8091.09
2.51873,8.03988,8039.88
2.54842,7.98695,7986.95
2.57806,7.93162,7931.62
2.60858,7.8712,7871.2
2.63856,7.80921,7809.21
2.66799,7.74579,7745.79
2.69838,7.6766700000000005,7676.67
2.7287,7.6046700000000005,7604.67
2.75855,7.531390000000001,7531.39
2.78772,7.45611,7456.11
2.81861,7.374140000000001,7374.14
2.84886,7.29155,7291.55
2.87811,7.20853,7208.53
2.90801,7.1221000000000005,7122.1
2.93873,7.03042,7030.42
2.96871,6.938899999999999,6938.9
2.99815,6.84791,6847.91
