"displacement,mm","force,kN","force,N"
0.0,0.00416753,4.16753
0.020001,1.43707,1437.07
0.0400051,2.90051,2900.51
0.0599947,4.43098,4430.98
0.0799874,5.68307,5683.07
0.0999768,7.26232,7262.32
0.119945,8.02616,8026.16
0.139913,8.56874,8568.74
0.159881,8.9236,8923.6
0.179849,9.24333,9243.33
0.199818,9.42006,9420.06
0.219786,9.5368,9536.8
0.239754,9.58065,9580.65
0.259722,9.591040000000001,9591.04
0.279687,9.585049999999999,9585.05
0.299655,9.57283,9572.83
0.319624,9.557920000000001,9557.92
0.339592,9.54194,9541.94
0.35956,9.524790000000001,9524.79
0.379528,9.507430000000001,9507.43
0.399572,9.489799999999999,9489.8
0.419703,9.47179,9471.79
0.439831,9.453479999999999,9453.48
0.459958,9.434700000000001,9434.7
0.480089,9.415450000000002,9415.45
0.500217,9.39582,9395.82
0.520441,9.376,9376.0
0.540675,9.355950000000002,9355.95
0.560906,9.33557,9335.57
0.581137,9.314860000000001,9314.86
0.601371,9.293930000000001,9293.93
0.621602,9.27258,9272.58
0.641837,9.25098,9250.98
0.662068,9.22916,9229.16
0.682299,9.20709,9207.09
0.702533,9.18465,9184.65
0.722764,9.16171,9161.71
0.742995,9.13817,9138.17
0.76323,9.11434,9114.34
0.783461,9.09015,9090.15
0.803529,9.065629999999999,9065.63
0.823557,9.04081,9040.81
0.843582,9.01558,9015.58
0.863609,8.98991,8989.91
0.883634,8.963870000000002,8963.87
0.903659,8.93731,8937.31
0.923634,8.910290000000002,8910.29
0.943452,8.88271,8882.71
0.96327,8.85456,8854.56
0.983091,8.82583,8825.83
1.00291,8.79673,8796.73
1.02273,8.76717,8767.17
1.04255,8.73712,8737.12
1.06237,8.706620000000001,8706.62
1.08219,8.675510000000001,8675.51
1.10201,8.643709999999999,8643.71
1.12216,8.61083,8610.83
1.14221,8.577459999999999,8577.46
1.16196,8.543870000000002,8543.87
1.18222,8.50888,8508.88
1.20215,8.4734,8473.4
1.22202,8.43757,8437.57
1.24216,8.40009,8400.09
1.26223,8.36232,8362.32
1.282,8.32381,8323.81
1.30221,8.284030000000001,8284.03
1.32212,8.24379,8243.79
1.34204,8.20263,8202.63
1.36223,8.16013,8160.13
1.38206,8.11726,8117.26
1.40214,8.07337,8073.37
1.42218,8.02833,8028.33
1.44215,7.98303,7983.03
1.46206,7.93644,7936.44
1.48227,7.88867,7888.67
1.502,7.840800000000001,7840.8
1.52214,7.79159,7791.59
1.54217,7.741300000000001,7741.3
1.56214,7.69088,7690.88
1.5824,7.63819,7638.19
1.60269,7.585260000000001,7585.26
1.62247,7.532229999999999,7532.23
1.64226,7.479310000000001,7479.31
1.66146,7.42645,7426.45
1.68151,7.37148,7371.48
1.70212,7.31371,7313.71
1.7226,7.25616,7256.16
1.74271,7.198810000000001,7198.81
1.76255,7.1417,7141.7
1.78225,7.0850800000000005,7085.08
1.80146,7.0288900000000005,7028.89
1.82101,6.972090000000001,6972.09
1.84183,6.91128,6911.28
1.86246,6.85106,6851.06
1.88287,6.79135,6791.35
1.90278,6.7325800000000005,6732.58
1.92269,6.67444,6674.44
1.9422,6.61679,6616.79
1.9614,6.55984,6559.84
1.9806,6.503640000000001,6503.64
2.00121,6.44257,6442.57
