displacement/mm,force/kN,force/N
0.01629709,0.537541156,537.541156
0.016530185,0.318113608,318.113608
0.016578747,0.340907277,340.907277
0.017120927,0.372783745,372.783745
0.017527823,0.409911676,409.911676
0.017834554,0.449090339,449.090339
0.0182521,0.488292614,488.292614
0.01883729,0.5272115730000001,527.211573
0.019182783,0.565365516,565.365516
0.019542042,0.603152058,603.152058
0.019825888,0.641759831,641.759831
0.020168694,0.679205822,679.205822
0.020357752,0.715688927,715.6889269999999
0.021125282,0.7517279720000001,751.727972
0.021374828,0.787460323,787.460323
0.021904877,0.82250765,822.50765
0.022136652,0.856227722,856.227722
0.022089679,0.887664047,887.664047
0.02261307,0.916854883,916.854883
0.022907684,0.9436425940000001,943.642594
0.022948333,0.967843747,967.843747
0.023464398,0.989095326,989.095326
0.023549778,1.0078054810000001,1007.805481
0.023517953,1.024393665,1024.393665
0.023901762,1.0401518550000002,1040.151855
0.023852922,1.054191362,1054.191362
0.024010835,1.067490697,1067.490697
0.023934646,1.0805578720000002,1080.557872
0.024242474,1.093661937,1093.661937
0.024421239,1.10605668,1106.05668
0.024591894,1.11793714,1117.93714
0.024472388,1.128884839,1128.8848389999998
0.024395333,1.139286715,1139.286715
0.024363955,1.149484619,1149.484619
0.024568326,1.159186048,1159.186048
0.024476169,1.1685192910000002,1168.519291
0.02447661,1.177818268,1177.818268
0.02474494,1.187779401,1187.779401
0.024760853,1.197479536,1197.4795359999998
0.024610678,1.206774677,1206.774677
0.024711736,1.21615986,1216.15986
0.02469201,1.225631047,1225.631047
0.024698066,1.234926722,1234.926722
0.024694018,1.244206337,1244.206337
0.024649732,1.253482592,1253.4825919999998
0.024820526,1.262717417,1262.7174169999998
0.024981978,1.272255159,1272.255159
0.025012168,1.2818456859999998,1281.845686
0.025495232,1.291381079,1291.381079
0.0250316,1.3005534829999998,1300.553483
0.025287037,1.3097387880000002,1309.738788
0.025294827,1.318900833,1318.900833
0.025311613,1.327774114,1327.7741139999998
0.025312325,1.336525363,1336.525363
0.025210488,1.345923776,1345.923776
0.025584254,1.356001802,1356.001802
0.025623911,1.3657310310000002,1365.731031
0.025872993,1.375401912,1375.401912
0.026374099,1.385150067,1385.150067
0.026254221,1.394262667,1394.262667
0.026051267,1.403156478,1403.156478
0.02598446,1.412066333,1412.066333
0.026286996,1.4211853799999998,1421.18538
0.026201639,1.4306291329999998,1430.629133
0.026476107,1.440515984,1440.515984
0.026161204,1.4502518789999999,1450.251879
0.02678783,1.459764723,1459.764723
0.026269437,1.469106629,1469.106629
0.026443593,1.478650774,1478.650774
0.02620025,1.488343128,1488.343128
0.026450513,1.498015506,1498.015506
0.026553538,1.507843894,1507.843894
0.026308552,1.518111503,1518.111503
0.02740929,1.527895439,1527.895439
0.026432345,1.537567728,1537.567728
0.027186448,1.547292859,1547.292859
0.027194349,1.5570154090000001,1557.015409
0.027442038,1.566593374,1566.593374
0.027202624,1.576045274,1576.0452739999998
0.027079489,1.58539446,1585.39446
0.027402753,1.594618,1594.6180000000002
0.027496673,1.604779368,1604.779368
0.027924645,1.615160377,1615.160377
0.027620452,1.625355572,1625.355572
0.02770724,1.635334515,1635.334515
0.027822248,1.645587305,1645.587305
0.02786865,1.6552784600000001,1655.27846
0.028184176,1.664801136,1664.8011359999998
0.028021002,1.674268776,1674.268776
0.027914207,1.684334427,1684.334427
0.028030211,1.694828704,1694.828704
0.028269671,1.705260857,1705.260857
0.028544254,1.715709622,1715.709622
0.028520951,1.725798325,1725.798325
0.028409655,1.735728812,1735.728812
0.028578957,1.746110265,1746.110265
0.028658877,1.756520142,1756.520142
0.028740423,1.766542176,1766.542176
0.028712429,1.7771391110000003,1777.1391110000002
0.029067338,1.788356054,1788.356054
0.029222345,1.799090341,1799.090341
0.029250915,1.809450112,1809.450112
0.029305416,1.820023997,1820.023997
0.0292804,1.8305782369999999,1830.578237
0.029382712,1.8406724870000002,1840.672487
0.029608485,1.8507950530000001,1850.795053
0.029810148,1.8611927510000001,1861.192751
0.030081323,1.871675364,1871.675364
0.030132938,1.882533688,1882.533688
0.030056391,1.893572115,1893.572115
0.030126975,1.904605521,1904.605521
0.030346705,1.9156510310000001,1915.651031
0.030603754,1.926720102,1926.720102
0.030621211,1.937580533,1937.580533
0.030859551,1.947466677,1947.466677
0.030656449,1.957800938,1957.800938
0.031116508,1.968361913,1968.361913
0.031132181,1.979343993,1979.343993
0.031410161,1.990432811,1990.432811
0.031812987,2.001283536,2001.283536
0.031399554,2.012142408,2012.142408
0.031437189,2.022931641,2022.931641
0.031500289,2.033693559,2033.693559
0.03164073,2.0449537330000003,2044.953733
0.031548123,2.056009546,2056.009546
0.031734522,2.0675041750000003,2067.504175
0.031969641,2.079440517,2079.440517
0.031983909,2.090670819,2090.670819
0.031995288,2.10156266,2101.56266
0.032057194,2.11275455,2112.75455
0.03204116,2.123808342,2123.808342
0.032178233,2.1345201830000002,2134.520183
0.032259607,2.1453510849999997,2145.351085
0.032169318,2.156292638,2156.292638
0.03256181,2.167501994,2167.501994
0.0325508,2.178819319,2178.819319
0.032240229,2.190246963,2190.246963
0.032568043,2.201706408,2201.706408
0.032827624,2.213182788,2213.182788
0.032803095,2.224822699,2224.8226990000003
0.032641958,2.2361924970000002,2236.192497
0.032879231,2.2467608770000003,2246.760877
0.033161787,2.257281255,2257.281255
0.033463004,2.2678763130000004,2267.876313
0.0337735,2.27956466,2279.56466
0.03352988,2.291058531,2291.058531
0.033523856,2.3025696520000003,2302.569652
0.033864955,2.3138573080000002,2313.857308
0.033876379,2.324699095,2324.699095
0.033914362,2.335630321,2335.630321
0.033887428,2.3471106750000006,2347.1106750000004
0.034044918,2.358391867,2358.391867
0.034109186,2.3700508410000003,2370.050841
0.034055569,2.3824580030000004,2382.458003
0.033762473,2.3943725639999998,2394.372564
0.033951616,2.405547944,2405.547944
0.034108268,2.416798976,2416.798976
0.034700183,2.428286255,2428.286255
0.034790135,2.439711072,2439.711072
0.035148512,2.450930202,2450.930202
0.035169381,2.462152267,2462.152267
0.035316804,2.473393022,2473.393022
0.035320072,2.48473244,2484.73244
0.035354222,2.496475494,2496.475494
0.035683432,2.508565716,2508.565716
0.035693459,2.5203831030000003,2520.383103
0.035763504,2.532266626,2532.266626
0.035949568,2.544050159,2544.0501590000003
0.036380919,2.555347369,2555.347369
0.036626321,2.566379896,2566.379896
0.036494929,2.577861426,2577.861426
0.036464096,2.590109011,2590.109011
0.036511921,2.601963365,2601.963365
0.036574347,2.6136412420000004,2613.641242
0.036861993,2.6253172100000004,2625.31721
0.037011744,2.636823212,2636.823212
0.037195177,2.6482442280000003,2648.244228
0.037223842,2.6600380460000004,2660.038046
