strain/-,stress/MPa
0,379.7597453
0.0002,531.1111951
0.0004,597.9064465
0.0006,637.0712514
0.0008,669.6443227
0.001,693.7779877
0.0012,715.1645454
0.0014,731.7542943
0.0016,747.3901319
0.0018,760.9753533
0.002,771.8354927
0.0022,781.59854
0.0024,790.9793271
0.0026,799.0127169
0.0028,806.5405989
0.003,812.9835127
0.0032,819.4462953
0.0034,825.2113194
0.0036,830.7018885
0.0038,835.4601243
0.004,840.4127757
0.0042,844.9821215
0.0044,849.3633607
0.0046,853.4265822
0.0048,857.4225743
0.005,861.1672306
0.0052,864.7508946
0.0054,868.1424065
0.0056,871.5679952
0.0058,874.620045
0.006,877.7695182
0.0062,880.7125521
0.0064,883.5089208
0.0066,886.3201259
0.0068,889.0358263
0.007,891.7580555
0.0072,894.2454839
0.0074,896.7524121
0.0076,899.1239084
0.0078,901.6066778
0.008,903.6632293
0.0082,905.9439622
0.0084,908.1334576
0.0086,910.2637034
0.0088,912.2831933
0.009,914.2842882
0.0092,916.2137609
0.0094,918.1323058
0.0096,920.0554417
0.0098,921.8013449
0.01,923.5977183
0.0102,925.3602539
0.0104,926.9538501
0.0106,928.7182543
0.0108,930.3474987
0.011,931.9249821
0.0112,933.4539622
0.0114,935.04095
0.0116,936.5264052
0.0118,937.9823276
0.012,939.3929887
0.0122,940.8006902
0.0124,942.2392123
0.0126,943.5379042
0.0128,944.9253944
0.013,946.215428
0.0132,947.4574716
0.0134,948.7603886
0.0136,949.9236239
0.0138,951.2101397
0.014,952.3572914
0.0142,953.5139344
0.0144,954.7180201
0.0146,955.8687093
0.0148,956.965755
0.015,958.0664963
0.0152,959.2220773
0.0154,960.2625569
0.0156,961.3026675
0.0158,962.294546
0.016,963.3546676
0.0162,964.2752592
0.0164,965.3332865
0.0166,966.3708691
0.0168,967.4173199
0.017,968.3353673
0.0172,969.2642049
0.0174,970.1387667
0.0176,971.0794438
0.0178,971.9140793
0.018,972.7944122
0.0182,973.7063774
0.0184,974.5551695
0.0186,975.4296114
0.0188,976.2748933
0.019,977.0910973
0.0192,977.8732512
0.0194,978.6661015
0.0196,979.4621533
0.0198,980.2143208
0.02,980.9247516
0.0202,981.7154815
0.0204,982.4733053
0.0206,983.2797088
0.0208,984.0129971
0.021,984.7401874
0.0212,985.4670258
0.0214,986.1438384
0.0216,986.8038212
0.0218,987.4908598
0.022,988.2131947
0.0222,988.8638608
0.0224,989.5482327
0.0226,990.1882368
0.0228,990.9170029
0.023,991.5040455
0.0232,992.1367176
0.0234,992.7308081
0.0236,993.4022599
0.0238,993.9649665
0.024,994.5803889
0.0242,995.1805706
0.0244,995.7801766
0.0246,996.3210666
0.0248,996.8707559
0.025,997.4619624
0.0252,998.0763403
0.0254,998.5882072
0.0256,999.1242652
0.0258,999.660426
0.026,1000.229657
0.0262,1000.764694
0.0264,1001.277374
0.0266,1001.80959
0.0268,1002.341227
0.027,1002.85575
0.0272,1003.392282
0.0274,1003.888928
0.0276,1004.408191
0.0278,1004.846449
0.028,1005.333354
0.0282,1005.771851
0.0284,1006.275241
0.0286,1006.732049
0.0288,1007.229199
0.029,1007.654162
0.0292,1008.128306
0.0294,1008.595026
0.0296,1009.076209
0.0298,1009.478223
0.03,1009.927602
0.0302,1010.345881
0.0304,1010.780288
0.0306,1011.186194
0.0308,1011.62287
0.031,1012.061565
0.0312,1012.476251
0.0314,1012.865222
0.0316,1013.279806
0.0318,1013.705125
0.032,1014.093604
0.0322,1014.495554
0.0324,1014.87342
0.0326,1015.268959
0.0328,1015.638234
0.033,1016.063011
0.0332,1016.404246
0.0334,1016.785056
0.0336,1017.17068
0.0338,1017.558129
0.034,1017.88571
0.0342,1018.257879
0.0344,1018.636735
0.0346,1019.014475
0.0348,1019.320254
0.035,1019.658062
0.0352,1020.068873
0.0354,1020.439918
0.0356,1020.77277
0.0358,1021.088945
0.036,1021.477987
0.0362,1021.762436
0.0364,1022.086669
0.0366,1022.402289
