strain/-,stress/MPa
0.0,746.2230162377872
0.002,876.5228932532852
0.004,928.8214668888982
0.006,963.0333996178427
0.008,988.7575037159777
0.01,1009.4908911652968
0.012,1026.9186193338187
0.014,1041.9870414289908
0.016,1055.2826676710904
0.018,1067.1950240775568
0.02,1077.9964587902787
0.022,1087.8851209924826
0.024,1097.009825477494
0.026,1105.4852719779717
0.028,1113.4017956901318
0.03,1120.831854331727
0.032,1127.8344832278538
0.034,1134.4584389591935
0.036,1140.7444701687546
0.038,1146.726991743003
0.04,1152.4353415420728
0.042,1157.8947389622786
0.044,1163.1270265881985
0.046,1168.151251433787
0.048,1172.9841257866017
0.05,1177.640396468309
0.052,1182.1331435739341
0.054,1186.4740242993998
0.056,1190.6734735719785
0.058,1194.740870377335
0.06,1198.6846766074757
0.062,1202.512553717878
0.064,1206.2314613294122
0.066,1209.8477410368437
0.068,1213.3671880170261
0.07,1216.7951125136203
0.072,1220.136392873309
0.074,1223.3955214931966
0.076,1226.5766447899691
0.078,1229.6835981031606
0.08,1232.7199362861438
0.082,1235.6889606105792
0.084,1238.5937425064083
0.086,1241.4371445750407
0.088,1244.2218392442178
0.09,1246.9503253761004
0.092,1249.6249430930584
0.094,1252.2478870465175
0.096,1254.8212183216058
0.098,1257.3468751430034
0.1,1259.8266825244207
0.102,1262.2623609847292
0.104,1264.6555344373448
0.106,1267.007737345488
0.108,1269.3204212240369
0.11,1271.5949605585058
0.112,1273.8326582029306
0.114,1276.0347503109244
0.116,1278.2024108476699
0.118,1280.3367557249992
0.12,1282.4388465968352
0.122,1284.5096943480287
0.124,1286.5502623059292
0.126,1288.5614692007982
0.128,1290.544191898341
0.13,1292.4992679251523
0.132,1294.427497805681
0.134,1296.329647227403
0.136,1298.2064490491746
0.138,1300.058605166249
0.14,1301.8867882440939
0.142,1303.6916433319652
0.144,1305.4737893661384
0.146,1307.2338205717556
0.148,1308.9723077714132
0.15,1310.6897996078549
0.152,1312.3868236874744
0.154,1314.0638876507169
0.156,1315.7214801749378
0.158,1317.360071914784
0.16,1318.9801163847226
0.162,1320.5820507879534
0.164,1322.166296795576
0.166,1323.7332612795633
0.168,1325.2833370027993
0.17,1326.8169032691749
0.172,1328.33432653649
0.174,1329.8359609946976
0.176,1331.3221491118209
0.178,1332.793222149694
0.18,1334.249500651515
0.182,1335.6912949030425
0.184,1337.1189053691357
0.186,1338.5326231072045
0.188,1339.9327301590274
0.19,1341.3194999222856
0.192,1342.6931975030584
0.194,1344.054080050454
0.196,1345.4023970744408
0.198,1346.7383907478973
0.2,1348.0622961938031
0.202,1349.3743417584537
0.204,1350.674749271498
0.206,1351.963734293568
0.208,1353.2415063521958
0.21,1354.508269166688
0.212,1355.7642208625682
0.214,1357.0095541761646
0.216,1358.244456649887
0.218,1359.469110818696
0.22,1360.683694388236
0.222,1361.8883804050834
0.224,1363.0833374195186
0.226,1364.2687296412198
0.228,1365.4447170882418
0.23,1366.6114557296282
0.232,1367.7690976219803
0.234,1368.9177910402877
0.236,1370.0576806033116
0.238,1371.188907393787
0.24,1372.3116090737044
0.242,1373.425919994906
0.244,1374.53197130523
0.246,1375.62989105041
0.248,1376.7198042719401
0.25,1377.8018331010896
0.252,1378.8760968492516
0.254,1379.9427120947955
0.256,1381.0017927665865
0.258,1382.0534502243213
0.26,1383.0977933358295
0.262,1384.134928551474
0.264,1385.1649599757834
0.266,1386.1879894364347
0.268,1387.2041165507108
0.27,1388.2134387895367
0.272,1389.2160515392022
0.274,1390.2120481608729
0.276,1391.2015200479793
0.278,1392.1845566815816
0.28,1393.1612456837877
0.282,1394.1316728693116
0.284,1395.0959222952492
0.286,1396.0540763091415
0.288,1397.0062155954004
0.29,1397.95241922016
0.292,1398.8927646746197
0.294,1399.8273279169387
0.296,1400.7561834127393
0.298,1401.679404174276
0.3,1402.5970617983205
0.302,1403.509226502816
0.304,1404.415967162345
0.306,1405.3173513424595
0.308,1406.2134453329174
0.31,1407.1043141798625
0.312,1407.9900217169943
0.314,1408.8706305957612
0.316,1409.746202314615
0.318,1410.616797247363
0.32,1411.482474670647
0.322,1412.3432927905887
0.324,1413.1993087686212
0.326,1414.0505787465481
0.328,1414.8971578708474
0.33,1415.7391003162552
0.332,1416.5764593086499
0.334,1417.4092871472646
0.336,1418.237635226249
0.338,1419.0615540556048
0.34,1419.8810932815181
0.342,1420.6963017061057
0.344,1421.5072273065982
0.346,1422.3139172539795
0.348,1423.116417931099
0.35,1423.9147749502768
0.352,1424.7090331704155
0.354,1425.4992367136413
0.356,1426.28542898148
0.358,1427.0676526705963
0.36,1427.8459497880974
0.362,1428.620361666425
0.364,1429.3909289778453
0.366,1430.1576917485484
0.368,1430.9206893723738
0.37,1431.6799606241686
0.372,1432.435543672797
0.374,1433.187476093804
0.376,1433.9357948817517
0.378,1434.6805364622332
0.38,1435.4217367035772
0.382,1436.15943092825
0.384,1436.8936539239678
0.386,1437.6244399545258
0.388,1438.3518227703523
0.39,1439.0758356187985
0.392,1439.7965112541685
0.394,1440.5138819475023
0.396,1441.227979496113
0.398,1441.9388352328913
0.4,1442.6464800353795
0.402,1443.3509443346256
0.404,1444.052258123822
0.406,1444.7504509667328
0.408,1445.4455520059223
0.41,1446.137589970783
0.412,1446.8265931853748
0.414,1447.5125895760752
0.416,1448.1956066790535
0.418,1448.8756716475646
0.42,1449.5528112590753
0.422,1450.2270519222243
0.424,1450.89841968362
0.426,1451.5669402344827
0.428,1452.2326389171342
0.43,1452.8955407313388
0.432,1453.5556703405007
0.434,1454.21305207772
0.436,1454.8677099517158
0.438,1455.5196676526105
0.44,1456.1689485575919
0.442,1456.8155757364434
0.444,1457.459571956957
0.446,1458.1009596902234
0.448,1458.7397611158078
0.45,1459.3759981268133
0.452,1460.0096923348333
0.454,1460.6408650747967
0.456,1461.2695374097088
0.458,1461.8957301352934
0.46,1462.5194637845304
0.462,1463.1407586321018
0.464,1463.759634698741
0.466,1464.3761117554923
0.468,1464.9902093278788
0.47,1465.6019466999858
0.472,1466.2113429184565
0.474,1466.8184167964075
0.476,1467.4231869172627
0.478,1468.0256716385072
0.48,1468.6258890953661
0.482,1469.2238572044073
0.484,1469.8195936670725
0.486,1470.4131159731348
0.488,1471.0044414040897
0.49,1471.5935870364742
0.492,1472.1805697451239
0.494,1472.7654062063625
0.496,1473.348112901129
0.498,1473.9287061180441
0.5,1474.5072019564147
0.505,1475.9443694990512
0.51,1477.3687710604156
0.515,1478.7806434247652
0.52,1480.1802167400372
0.525,1481.567714765545
0.53,1482.9433551081702
0.535,1484.3073494476898
0.54,1485.6599037518295
0.545,1487.0012184816067
0.55,1488.331488787483
0.555,1489.6509046968192
0.56,1490.9596512930932
0.565,1492.2579088873076
0.57,1493.5458531820027
0.575,1494.8236554282455
0.58,1496.0914825759617
0.585,1497.3494974179416
0.59,1498.5978587278428
0.595,1499.8367213924844
0.6,1501.066236538718
0.605,1502.2865516551365
0.61,1503.497810708878
0.615,1504.7001542577548
0.62,1505.8937195579324
0.625,1507.0786406673737
0.63,1508.2550485452402
0.635,1509.4230711474459
0.64,1510.5828335185352
0.645,1511.7344578800612
0.65,1512.878063715616
0.655,1514.0137678526703
0.66,1515.1416845413612
0.665,1516.2619255303691
0.67,1517.3746001400061
0.675,1518.4798153326433
0.68,1519.577675780591
0.685,1520.6682839315415
0.69,1521.7517400716795
0.695,1522.8281423865596
0.7,1523.8975870198456
0.705,1524.9601681300005
0.71,1526.0159779450137
0.715,1527.065106815245
0.72,1528.107643264466
0.725,1529.1436740391691
0.73,1530.173284156215
0.735,1531.196556948888
0.74,1532.2135741114207
0.745,1533.2244157420494
0.75,1534.229160384656
0.755,1535.2278850690593
0.76,1536.2206653499952
0.765,1537.2075753448526
0.77,1538.1886877701977
0.775,1539.1640739771447
0.78,1540.1338039856075
0.785,1541.0979465174837
0.79,1542.056569028801
0.795,1543.0097377408736
0.8,1543.9575176704993
0.805,1544.8999726592347
0.81,1545.8371654017833
0.815,1546.769157473526
0.82,1547.696009357227
0.825,1548.6177804689444
0.83,1549.5345291831727
0.835,1550.4463128572468
0.84,1551.3531878550298
0.845,1552.255209569914
0.85,1553.1524324471554
0.855,1554.0449100055669
0.86,1554.9326948585915
0.865,1555.8158387347771
0.87,1556.6943924976715
0.875,1557.5684061651612
0.88,1558.4379289282674
0.885,1559.303009169423
0.89,1560.163694480242
0.895,1561.0200316788028
0.9,1561.8720668264602
0.905,1562.719845244199
0.91,1563.563411528547
0.915,1564.4028095670612
0.92,1565.2380825534003
0.925,1566.0692730019946
