Disp /mm,Force /kN
0.01629709,0.537541156
0.016530185,0.318113608
0.016578747,0.340907277
0.017120927,0.372783745
0.017527823,0.409911676
0.017834554,0.449090339
0.0182521,0.488292614
0.01883729,0.527211573
0.019182783,0.565365516
0.019542042,0.603152058
0.019825888,0.641759831
0.020168694,0.679205822
0.020357752,0.715688927
0.021125282,0.751727972
0.021374828,0.787460323
0.021904877,0.82250765
0.022136652,0.856227722
0.022089679,0.887664047
0.02261307,0.916854883
0.022907684,0.943642594
0.022948333,0.967843747
0.023464398,0.989095326
0.023549778,1.007805481
0.023517953,1.024393665
0.023901762,1.040151855
0.023852922,1.054191362
0.024010835,1.067490697
0.023934646,1.080557872
0.024242474,1.093661937
0.024421239,1.10605668
0.024591894,1.11793714
0.024472388,1.128884839
0.024395333,1.139286715
0.024363955,1.149484619
0.024568326,1.159186048
0.024476169,1.168519291
0.02447661,1.177818268
0.02474494,1.187779401
0.024760853,1.197479536
0.024610678,1.206774677
0.024711736,1.21615986
0.02469201,1.225631047
0.024698066,1.234926722
0.024694018,1.244206337
0.024649732,1.253482592
0.024820526,1.262717417
0.024981978,1.272255159
0.025012168,1.281845686
0.025495232,1.291381079
0.0250316,1.300553483
0.025287037,1.309738788
0.025294827,1.318900833
0.025311613,1.327774114
0.025312325,1.336525363
0.025210488,1.345923776
0.025584254,1.356001802
0.025623911,1.365731031
0.025872993,1.375401912
0.026374099,1.385150067
0.026254221,1.394262667
0.026051267,1.403156478
0.02598446,1.412066333
0.026286996,1.42118538
0.026201639,1.430629133
0.026476107,1.440515984
0.026161204,1.450251879
0.02678783,1.459764723
0.026269437,1.469106629
0.026443593,1.478650774
0.02620025,1.488343128
0.026450513,1.498015506
0.026553538,1.507843894
0.026308552,1.518111503
0.02740929,1.527895439
0.026432345,1.537567728
0.027186448,1.547292859
0.027194349,1.557015409
0.027442038,1.566593374
0.027202624,1.576045274
0.027079489,1.58539446
0.027402753,1.594618
0.027496673,1.604779368
0.027924645,1.615160377
0.027620452,1.625355572
0.02770724,1.635334515
0.027822248,1.645587305
0.02786865,1.65527846
0.028184176,1.664801136
0.028021002,1.674268776
0.027914207,1.684334427
0.028030211,1.694828704
0.028269671,1.705260857
0.028544254,1.715709622
0.028520951,1.725798325
0.028409655,1.735728812
0.028578957,1.746110265
0.028658877,1.756520142
0.028740423,1.766542176
0.028712429,1.777139111
0.029067338,1.788356054
0.029222345,1.799090341
0.029250915,1.809450112
0.029305416,1.820023997
0.0292804,1.830578237
0.029382712,1.840672487
0.029608485,1.850795053
0.029810148,1.861192751
0.030081323,1.871675364
0.030132938,1.882533688
0.030056391,1.893572115
0.030126975,1.904605521
0.030346705,1.915651031
0.030603754,1.926720102
0.030621211,1.937580533
0.030859551,1.947466677
0.030656449,1.957800938
0.031116508,1.968361913
0.031132181,1.979343993
0.031410161,1.990432811
0.031812987,2.001283536
0.031399554,2.012142408
0.031437189,2.022931641
0.031500289,2.033693559
0.03164073,2.044953733
0.031548123,2.056009546
0.031734522,2.067504175
0.031969641,2.079440517
0.031983909,2.090670819
0.031995288,2.10156266
0.032057194,2.11275455
0.03204116,2.123808342
0.032178233,2.134520183
0.032259607,2.145351085
0.032169318,2.156292638
0.03256181,2.167501994
0.0325508,2.178819319
0.032240229,2.190246963
0.032568043,2.201706408
0.032827624,2.213182788
0.032803095,2.224822699
0.032641958,2.236192497
0.032879231,2.246760877
0.033161787,2.257281255
0.033463004,2.267876313
0.0337735,2.27956466
0.03352988,2.291058531
0.033523856,2.302569652
0.033864955,2.313857308
0.033876379,2.324699095
0.033914362,2.335630321
0.033887428,2.347110675
0.034044918,2.358391867
0.034109186,2.370050841
0.034055569,2.382458003
0.033762473,2.394372564
0.033951616,2.405547944
0.034108268,2.416798976
0.034700183,2.428286255
0.034790135,2.439711072
0.035148512,2.450930202
0.035169381,2.462152267
0.035316804,2.473393022
0.035320072,2.48473244
0.035354222,2.496475494
0.035683432,2.508565716
0.035693459,2.520383103
0.035763504,2.532266626
0.035949568,2.544050159
0.036380919,2.555347369
0.036626321,2.566379896
0.036494929,2.577861426
0.036464096,2.590109011
0.036511921,2.601963365
0.036574347,2.613641242
0.036861993,2.62531721
0.037011744,2.636823212
0.037195177,2.648244228
0.037223842,2.660038046
0.037339693,2.67191721
0.03745831,2.683801328
0.037566548,2.696652286
0.037655934,2.709301431
0.037842777,2.721457122
0.038468047,2.733471109
0.038312327,2.745507321
0.038253408,2.757497554
0.038396641,2.769043804
0.038446077,2.780940815
0.038617688,2.792969113
0.039098038,2.80541726
0.038855208,2.818048298
0.039167505,2.831020514
0.039299766,2.843746968
0.039423882,2.856575481
0.039792184,2.869492867
0.039964313,2.88179999
0.039961328,2.89367989
0.040211113,2.905696995
0.040320515,2.918569
0.040338991,2.931080668
0.040657066,2.94380467
0.04093253,2.956455372
0.040817994,2.968740518
0.041203447,2.980968797
0.041400617,2.993335351
0.04139749,3.005908876
0.041130616,3.018966523
0.041426212,3.032444853
0.041681474,3.045896246
0.041668038,3.058779317
0.041685621,3.07132083
0.041640616,3.083712754
0.042100381,3.096351446
0.042236226,3.109054462
0.042171383,3.121848646
0.042403017,3.134897497
0.042281199,3.148105775
0.042576489,3.160853382
0.042658391,3.174175211
0.042805193,3.187584307
0.043166106,3.20081543
0.043106953,3.213977034
0.043363107,3.226603003
0.043333147,3.239037033
0.04334346,3.251719456
0.043719,3.265019824
0.043718808,3.278565636
0.043920934,3.291839356
0.044217611,3.305111244
0.044472373,3.31814747
0.044797722,3.330703336
0.044906262,3.343566637
0.045094919,3.356559019
0.04491719,3.36997775
0.045016368,3.384145732
0.044816524,3.398267599
0.045114,3.41199361
0.045658995,3.425070604
0.045732585,3.438276767
0.046000606,3.451517563
0.045987572,3.464577858
0.045987145,3.477530307
0.046181418,3.490831101
0.04626778,3.504627773
0.046616187,3.518185121
0.046944403,3.531866178
0.046942721,3.545459371
0.047291359,3.559257493
0.047261008,3.573055
0.047646315,3.586729166
0.04786045,3.599893602
0.047992004,3.61318836
0.048048822,3.627394633
0.048154162,3.6414604
0.048221796,3.655175079
0.048429824,3.668832302
0.048518148,3.682575273
0.04867341,3.696134046
0.049527754,3.709667522
0.048968232,3.723426753
0.049156779,3.737525905
0.049749516,3.751893185
0.050033969,3.766664077
0.050131111,3.781284755
0.0503004,3.795186344
0.050354396,3.808935173
0.050491541,3.823077729
0.050606072,3.836704242
0.050802478,3.850169054
0.050960853,3.864017778
0.051108552,3.878488816
0.051456379,3.892959927
0.051303269,3.907611523
0.051719558,3.922260638
0.052210387,3.937012068
0.052275714,3.951577948
0.052708502,3.966328242
0.053221779,3.98053102
0.052793457,3.994314818
0.052491369,4.008554286
0.05297259,4.023555927
0.053104797,4.038488115
0.053583309,4.052876698
0.054024697,4.067349866
0.053964812,4.081736005
0.054252816,4.095762195
0.054141752,4.110019272
0.054386492,4.124717944
0.054587614,4.139986538
0.054717266,4.155564499
0.054736688,4.170698248
0.054906605,4.184847761
0.055144897,4.199078037
0.055469687,4.213525141
0.055882147,4.22810431
0.056226694,4.242387663
0.056192018,4.257065342
0.055953724,4.272012372
0.055988335,4.286807337
0.056285409,4.301571995
0.056820204,4.316573614
0.057135273,4.331888536
0.057028794,4.347203953
