Stress, Mpa	Strain, -
222.2154	0
224.6897161	0.0001
225.918863	0.0002
226.923468	0.0003
227.8094852	0.0004
228.6186665	0.0005
229.3726736	0.0006
230.0844894	0.0007
230.7626344	0.0008
231.4130632	0.0009
232.0401346	0.001
237.5093947	0.002
242.1738289	0.003
246.4023323	0.004
250.3404634	0.005
254.0638928	0.006
257.6180956	0.007
261.0330204	0.008
264.3296867	0.009
267.523558	0.01
270.6264321	0.011
273.647575	0.012
276.5944391	0.013
279.4731382	0.014
282.2887729	0.015
285.0456609	0.016
287.747503	0.017
290.397507	0.018
292.9984802	0.019
295.5529017	0.02
298.0629772	0.021
300.5306837	0.022
302.9578044	0.023
305.3459572	0.024
307.6966176	0.025
310.0111383	0.026
312.2907646	0.027
314.5366479	0.028
316.7498568	0.029
318.9313867	0.03
321.0821676	0.031
323.2030712	0.032
325.2949169	0.033
327.358477	0.034
329.394481	0.035
331.4036198	0.036
333.3865491	0.037
335.3438923	0.038
337.2762433	0.039
339.1841689	0.04
341.068211	0.041
342.9288883	0.042
344.7666983	0.043
346.5821186	0.044
348.3756082	0.045
350.1476091	0.046
351.8985472	0.047
353.6288334	0.048
355.3388644	0.049
357.0290237	0.05
358.6996822	0.051
360.3511994	0.052
361.9839233	0.053
363.5981917	0.054
365.1943323	0.055
366.7726634	0.056
368.3334943	0.057
369.8771259	0.058
371.4038509	0.059
372.9139544	0.06
374.4077139	0.061
375.8854001	0.062
377.3472767	0.063
378.7936012	0.064
380.2246246	0.065
381.6405923	0.066
383.0417438	0.067
384.4283131	0.068
385.800529	0.069
387.1586152	0.07
388.5027904	0.071
389.8332689	0.072
391.1502599	0.073
392.4539688	0.074
393.7445963	0.075
395.0223392	0.076
396.2873903	0.077
397.5399384	0.078
398.7801688	0.079
400.0082629	0.08
401.2243989	0.081
402.4287513	0.082
403.6214915	0.083
404.8027875	0.084
405.9728044	0.085
407.1317041	0.086
408.2796456	0.087
409.4167848	0.088
410.5432753	0.089
411.6592674	0.09
412.7649091	0.091
413.8603457	0.092
