
                  X             Displacement          Force      

                0.                 0.                 2.08377    
              100.007E-06         20.001E-03        718.536      
              200.006E-06         40.0051E-03         1.45026E+03
              300.006E-06         59.9947E-03         2.21549E+03
              400.007E-06         79.9874E-03         2.84073E+03
              500.008E-06         99.9806E-03         3.54978E+03
              600.008E-06        119.949E-03          4.17265E+03
              700.009E-06        139.917E-03          4.67875E+03
              800.01E-06         159.885E-03          5.20629E+03
              900.011E-06        179.853E-03          5.55971E+03
                1.00001E-03      199.821E-03          5.8992E+03 
                1.10001E-03      219.79E-03           6.16027E+03
                1.20001E-03      239.758E-03          6.36678E+03
                1.30001E-03      259.726E-03          6.55242E+03
                1.4E-03          279.691E-03          6.69159E+03
                1.5E-03          299.659E-03          6.81963E+03
                1.6E-03          319.627E-03          6.91569E+03
                1.7E-03          339.596E-03          7.00484E+03
                1.8E-03          359.564E-03          7.0847E+03 
                1.9E-03          379.532E-03          7.15743E+03
                2.E-03           399.576E-03          7.22247E+03
                2.10001E-03      419.706E-03          7.27367E+03
                2.20001E-03      439.834E-03          7.32291E+03
                2.3E-03          459.962E-03          7.36865E+03
                2.40001E-03      480.093E-03          7.40725E+03
                2.50001E-03      500.221E-03          7.4405E+03 
                2.6E-03          520.247E-03          7.47471E+03
                2.70001E-03      540.275E-03          7.50233E+03
                2.80001E-03      560.3E-03            7.5255E+03 
                2.9E-03          580.324E-03          7.54702E+03
                3.00001E-03      600.352E-03          7.56627E+03
                3.1E-03          620.377E-03          7.58306E+03
                3.20001E-03      640.404E-03          7.59787E+03
                3.30001E-03      660.429E-03          7.61073E+03
                3.4E-03          680.454E-03          7.62172E+03
                3.50001E-03      700.482E-03          7.63037E+03
                3.60001E-03      720.506E-03          7.63495E+03
                3.7E-03          740.531E-03          7.63475E+03
                3.80001E-03      760.559E-03          7.62988E+03
                3.90001E-03      780.583E-03          7.62217E+03
                4.E-03           800.608E-03          7.61099E+03
                4.10001E-03      820.636E-03          7.59459E+03
                4.2E-03          840.661E-03          7.57444E+03
                4.30001E-03      860.688E-03          7.55217E+03
                4.40001E-03      880.713E-03          7.52826E+03
                4.5E-03          900.738E-03          7.50275E+03
                4.60001E-03      920.765E-03          7.47432E+03
                4.70001E-03      940.79E-03           7.44396E+03
                4.8E-03          960.815E-03          7.41227E+03
                4.90001E-03      980.842E-03          7.37897E+03
                5.00001E-03        1.00087            7.3439E+03 
                5.1E-03            1.02105            7.30712E+03
                5.20001E-03        1.04128            7.26886E+03
                5.3E-03            1.06151            7.23028E+03
                5.40001E-03        1.08175            7.18865E+03
                5.50001E-03        1.10198            7.14682E+03
                5.6E-03            1.12221            7.10207E+03
                5.70001E-03        1.14244            7.05717E+03
                5.80001E-03        1.16267            7.00966E+03
                5.9E-03            1.18291            6.96178E+03
                6.00001E-03        1.20314            6.91156E+03
                6.1E-03            1.22337            6.86024E+03
                6.20001E-03        1.24361            6.80843E+03
                6.30001E-03        1.26384            6.75425E+03
                6.4E-03            1.28407            6.69966E+03
                6.50001E-03        1.3043             6.64246E+03
                6.60001E-03        1.32453            6.58515E+03
                6.7E-03            1.34476            6.52538E+03
                6.8E-03            1.3649             4.86369E+03
                6.9E-03            1.38487            6.29591E+03
                7.00001E-03        1.40484            6.36002E+03
                7.10001E-03        1.42471            5.93561E+03
                7.20001E-03        1.4446             5.98513E+03
                7.3E-03            1.46486            6.11346E+03
                7.4E-03            1.48497            6.07898E+03
                7.5E-03            1.50471            5.98153E+03
                7.6E-03            1.52489            5.87241E+03
                7.7E-03            1.54548            5.81215E+03
                7.80001E-03        1.56607            5.75442E+03
                7.9E-03            1.58591            5.69659E+03
                8.E-03             1.60564            5.6476E+03 
                8.1E-03            1.62538            5.62694E+03
                8.20001E-03        1.64511            5.54501E+03
                8.30001E-03        1.66485            5.47753E+03
                8.4E-03            1.68458            5.38065E+03
                8.5E-03            1.70431            5.28132E+03
                8.60001E-03        1.72405            5.2322E+03 
                8.70001E-03        1.74378            5.21012E+03
                8.80001E-03        1.76351            5.16958E+03
                8.90001E-03        1.78325            5.06926E+03
                9.00001E-03        1.80298            5.0084E+03 
                9.10001E-03        1.82252            4.8971E+03 
                9.20001E-03        1.84265            4.84681E+03
                9.30001E-03        1.86301            4.79852E+03
                9.4E-03            1.88303            4.73835E+03
                9.5E-03            1.90281            4.66377E+03
                9.60001E-03        1.92267            4.60577E+03
                9.70001E-03        1.94359            4.56672E+03
                9.8E-03            1.96407            4.52869E+03
                9.9E-03            1.98437            4.4791E+03 
               10.E-03             2.00411            4.42161E+03




