
                  X             Displacement          Force      

                0.                 0.                 2.08377    
              100.007E-06         20.001E-03        718.536      
              200.006E-06         40.0051E-03         1.45026E+03
              300.006E-06         59.9947E-03         2.21549E+03
              400.007E-06         79.9874E-03         2.84154E+03
              500.008E-06         99.9767E-03         3.63981E+03
              600.008E-06        119.945E-03          4.30849E+03
              700.009E-06        139.913E-03          5.08751E+03
              800.01E-06         159.881E-03          5.76453E+03
              900.011E-06        179.849E-03          6.49671E+03
                1.00001E-03      199.817E-03          7.06009E+03
                1.10001E-03      219.786E-03          7.24333E+03
                1.20001E-03      239.754E-03          7.46744E+03
                1.30001E-03      259.722E-03          7.61038E+03
                1.4E-03          279.687E-03          7.75264E+03
                1.5E-03          299.655E-03          7.88018E+03
                1.6E-03          319.623E-03          7.96368E+03
                1.7E-03          339.592E-03          8.05625E+03
                1.8E-03          359.56E-03           8.13317E+03
                1.9E-03          379.528E-03          8.20574E+03
                2.E-03           399.572E-03          8.2732E+03 
                2.10001E-03      419.703E-03          8.33151E+03
                2.20001E-03      439.83E-03           8.38247E+03
                2.3E-03          459.958E-03          8.43243E+03
                2.40001E-03      480.089E-03          8.48201E+03
                2.50001E-03      500.217E-03          8.52209E+03
                2.6E-03          520.245E-03          8.5629E+03 
                2.70001E-03      540.272E-03          8.59785E+03
                2.80001E-03      560.297E-03          8.63209E+03
                2.9E-03          580.322E-03          8.66386E+03
                3.00001E-03      600.349E-03          8.69237E+03
                3.1E-03          620.374E-03          8.7185E+03 
                3.20001E-03      640.402E-03          8.74266E+03
                3.30001E-03      660.427E-03          8.76477E+03
                3.4E-03          680.451E-03          8.78504E+03
                3.50001E-03      700.479E-03          8.80318E+03
                3.60001E-03      720.504E-03          8.81974E+03
                3.7E-03          740.528E-03          8.83466E+03
                3.80001E-03      760.556E-03          8.84785E+03
                3.90001E-03      780.581E-03          8.85936E+03
                4.E-03           800.606E-03          8.86897E+03
                4.10001E-03      820.633E-03          8.87714E+03
                4.2E-03          840.658E-03          8.88405E+03
                4.30001E-03      860.686E-03          8.88938E+03
                4.40001E-03      880.71E-03           8.893E+03  
                4.5E-03          900.735E-03          8.89543E+03
                4.60001E-03      920.763E-03          8.89639E+03
                4.70001E-03      940.787E-03          8.8958E+03 
                4.8E-03          960.812E-03          8.8939E+03 
                4.90001E-03      980.84E-03           8.8905E+03 
                5.00001E-03        1.00086            8.88579E+03
                5.1E-03            1.02104            8.8799E+03 
                5.20001E-03        1.04128            8.87275E+03
                5.3E-03            1.06151            8.86447E+03
                5.40001E-03        1.08174            8.85509E+03
                5.50001E-03        1.10197            8.84464E+03
                5.6E-03            1.12221            8.83316E+03
                5.70001E-03        1.1422             8.8207E+03 
                5.80001E-03        1.16202            8.80731E+03
                5.9E-03            1.18184            8.79302E+03
                6.00001E-03        1.20166            8.77779E+03
                6.1E-03            1.22148            8.7617E+03 
                6.20001E-03        1.2413             8.7445E+03 
                6.30001E-03        1.26112            8.72645E+03
                6.4E-03            1.28093            8.70776E+03
                6.50001E-03        1.30076            8.68821E+03
                6.60001E-03        1.32057            8.66731E+03
                6.7E-03            1.34039            8.64576E+03
                6.80001E-03        1.36021            8.62346E+03
                6.90001E-03        1.38069            8.59971E+03
                7.E-03             1.40117            8.57523E+03
                7.1E-03            1.42165            8.54994E+03
                7.20001E-03        1.44174            8.52394E+03
                7.30001E-03        1.46179            8.49718E+03
                7.4E-03            1.48184            8.46957E+03
                7.50001E-03        1.5019             8.44094E+03
                7.60001E-03        1.52195            8.41132E+03
                7.7E-03            1.542              8.38056E+03
                7.8E-03            1.56206            8.34889E+03
                7.90001E-03        1.58211            8.31628E+03
                8.00001E-03        1.60216            8.28269E+03
                8.1E-03            1.62222            8.24804E+03
                8.20001E-03        1.64227            8.21221E+03
                8.30001E-03        1.66232            8.17523E+03
                8.40001E-03        1.68238            8.13713E+03
                8.5E-03            1.70243            8.09814E+03
                8.60001E-03        1.72214            8.05828E+03
                8.70001E-03        1.7417             8.01758E+03
                8.80001E-03        1.76203            7.9735E+03 
                8.90001E-03        1.78235            7.92782E+03
                9.E-03             1.80247            7.88116E+03
                9.10001E-03        1.82216            7.83343E+03
                9.2E-03            1.8417             7.78475E+03
                9.30001E-03        1.86193            7.73245E+03
                9.4E-03            1.88233            7.67791E+03
                9.50001E-03        1.90252            7.62235E+03
                9.6E-03            1.92226            7.56569E+03
                9.7E-03            1.94185            7.50808E+03
                9.8E-03            1.96175            7.44743E+03
                9.9E-03            1.98229            7.38305E+03
               10.E-03             2.00256            7.31789E+03




