
                  X             Displacement          Force      

                0.                 0.                 3.12565    
              100.007E-06         30.0013E-03         1.07772E+03
              200.006E-06         60.0055E-03         2.17217E+03
              300.006E-06         89.9964E-03         3.29738E+03
              400.004E-06        120.E-03             4.14928E+03
              500.003E-06        150.008E-03          4.9234E+03 
              600.004E-06        179.96E-03           5.60475E+03
              700.004E-06        209.913E-03          6.06348E+03
              800.005E-06        239.865E-03          6.39271E+03
              900.006E-06        269.781E-03          6.61941E+03
                1.00001E-03      299.682E-03          6.8232E+03 
                1.10001E-03      329.583E-03          6.96647E+03
                1.20001E-03      359.484E-03          7.08888E+03
                1.30001E-03      389.385E-03          7.1946E+03 
                1.40001E-03      419.286E-03          7.27487E+03
                1.50001E-03      449.187E-03          7.34404E+03
                1.60001E-03      479.088E-03          7.40593E+03
                1.70001E-03      508.989E-03          7.45969E+03
                1.80001E-03      538.89E-03           7.49906E+03
                1.90001E-03      568.791E-03          7.53391E+03
                2.E-03           598.801E-03          7.56374E+03
                2.10001E-03      628.946E-03          7.58854E+03
                2.2E-03          659.086E-03          7.60889E+03
                2.30001E-03      689.231E-03          7.62559E+03
                2.40001E-03      719.371E-03          7.63585E+03
                2.5E-03          749.511E-03          7.63267E+03
                2.60001E-03      779.656E-03          7.62229E+03
                2.70001E-03      809.796E-03          7.60394E+03
                2.8E-03          839.937E-03          7.57521E+03
                2.90001E-03      870.081E-03          7.54108E+03
                3.00001E-03      900.222E-03          7.50416E+03
                3.10001E-03      930.367E-03          7.46445E+03
                3.20001E-03      960.507E-03          7.42001E+03
                3.3E-03          990.647E-03          7.37007E+03
                3.40001E-03        1.02079            7.31866E+03
                3.50001E-03        1.05093            7.26161E+03
                3.6E-03            1.08107            7.20253E+03
                3.70001E-03        1.11122            7.14008E+03
                3.80001E-03        1.14136            7.07336E+03
                3.9E-03            1.1715             7.00555E+03
                4.00001E-03        1.20164            6.93165E+03
                4.1E-03            1.23178            6.85778E+03
                4.20001E-03        1.26193            6.77748E+03
                4.30001E-03        1.29207            6.69728E+03
                4.4E-03            1.32221            6.61158E+03
                4.50001E-03        1.35235            6.52492E+03
                4.60001E-03        1.38254            5.76049E+03
                4.70001E-03        1.41225            5.42635E+03
                4.8E-03            1.44211            5.92822E+03
                4.90001E-03        1.47235            6.00044E+03
                5.00001E-03        1.50209            6.01337E+03
                5.10001E-03        1.53231            5.88767E+03
                5.20001E-03        1.56262            5.82554E+03
                5.30001E-03        1.59224            5.61757E+03
                5.40001E-03        1.62173            5.57634E+03
                5.5E-03            1.65122            5.49588E+03
                5.6E-03            1.68072            5.46501E+03
                5.7E-03            1.71022            5.37424E+03
                5.8E-03            1.73971            5.2933E+03 
                5.9E-03            1.76921            5.1655E+03 
                6.E-03             1.7987             4.99496E+03
                6.10001E-03        1.82852            4.89186E+03
                6.20001E-03        1.85877            4.81396E+03
                6.3E-03            1.88903            4.67918E+03
                6.4E-03            1.91908            4.57787E+03
                6.5E-03            1.94891            4.52088E+03
                6.60001E-03        1.97835            4.45202E+03
                6.70001E-03        2.00779            4.42552E+03
                6.8E-03            2.03724            4.364E+03  
                6.90001E-03        2.06669            4.31395E+03
                7.00001E-03        2.09737            4.2275E+03 
                7.1E-03            2.12732            4.16135E+03
                7.2E-03            2.15698            4.08209E+03
                7.3E-03            2.18741            4.03848E+03
                7.4E-03            2.21728            3.94932E+03
                7.5E-03            2.24731            3.88757E+03
                7.60001E-03        2.27743            3.83815E+03
                7.70001E-03        2.30755            3.78825E+03
                7.8E-03            2.33742            3.70887E+03
                7.90001E-03        2.3676             3.67798E+03
                8.E-03             2.39797            3.63096E+03
                8.1E-03            2.4281             3.58284E+03
                8.2E-03            2.45691            3.53257E+03
                8.3E-03            2.48571            3.49864E+03
                8.40001E-03        2.51452            3.49973E+03
                8.5E-03            2.5459             3.43935E+03
                8.6E-03            2.57698            3.37995E+03
                8.7E-03            2.60806            3.35328E+03
                8.80001E-03        2.63914            3.31696E+03
                8.9E-03            2.66851            3.28691E+03
                9.E-03             2.69778            3.25048E+03
                9.1E-03            2.72618            3.26469E+03
                9.2E-03            2.75708            3.2521E+03 
                9.3E-03            2.79034            3.24774E+03
                9.4E-03            2.82163            3.26632E+03
                9.5E-03            2.85236            3.24336E+03
                9.6E-03            2.88308            3.21774E+03
                9.7E-03            2.9138             3.19753E+03
                9.8E-03            2.94452            3.18958E+03
                9.9E-03            2.97524            3.1772E+03 
               10.E-03             3.00596            3.16518E+03




