Disp/mm,Force/kN,Force/N
0.0,0.0031256499999999998,3.12565
0.0300013,1.07772,1077.72
0.0600055,2.17217,2172.17
0.0899964,3.3191300000000004,3319.13
0.120005,4.25807,4258.07
0.150013,5.45308,5453.08
0.179965,6.45376,6453.76
0.209917,7.148300000000001,7148.3
0.23987,7.43786,7437.86
0.269857,7.65692,7656.92
0.29986,7.87758,7877.58
0.329864,8.00768,8007.68
0.359822,8.13443,8134.43
0.389723,8.24041,8240.41
0.419624,8.33398,8333.98
0.449525,8.40454,8404.54
0.479426,8.48106,8481.06
0.509327,8.54137,8541.37
0.539228,8.59793,8597.93
0.569129,8.6443,8644.3
0.599144,8.68916,8689.16
0.629284,8.728629999999999,8728.63
0.659429,8.76417,8764.17
0.689569,8.79398,8793.98
0.719709,8.81901,8819.01
0.749854,8.840200000000001,8840.2
0.779994,8.85808,8858.08
0.810139,8.87292,8872.92
0.840279,8.88394,8883.94
0.87042,8.89095,8890.95
0.900564,8.89513,8895.13
0.930705,8.89624,8896.24
0.960845,8.893979999999999,8893.98
0.99099,8.88872,8888.72
1.02113,8.88033,8880.33
1.05127,8.86922,8869.22
1.08142,8.855540000000001,8855.54
1.11156,8.83933,8839.33
1.1417,8.820870000000001,8820.87
1.17184,8.8001,8800.1
1.20198,8.7766,8776.6
1.23213,8.75089,8750.89
1.26227,8.72333,8723.33
1.29241,8.69393,8693.93
1.32255,8.662709999999999,8662.71
1.35269,8.62948,8629.48
1.38284,8.594100000000001,8594.1
1.41298,8.55682,8556.82
1.44312,8.51776,8517.76
1.47326,8.47659,8476.59
1.5034,8.43324,8433.24
1.53354,8.38783,8387.83
1.56369,8.340459999999998,8340.46
1.59383,8.290750000000001,8290.75
1.62397,8.23849,8238.49
1.65399,8.1839,8183.9
1.68398,8.12653,8126.53
1.71396,8.06596,8065.96
1.74402,8.00163,8001.63
1.77385,7.93396,7933.96
1.80405,7.86188,7861.88
1.83386,7.7862,7786.2
1.86401,7.7056499999999994,7705.65
1.89395,7.62162,7621.62
1.924,7.53317,7533.17
1.95399,7.44057,7440.57
1.98391,7.344060000000001,7344.06
2.01402,7.24301,7243.01
2.04389,7.13912,7139.12
2.07397,7.03075,7030.75
2.10398,6.92072,6920.72
2.13398,6.80626,6806.26
2.1639,6.69074,6690.74
2.194,6.57224,6572.24
2.22393,6.45386,6453.86
2.25398,6.33405,6334.05
2.28403,6.2133,6213.3
2.31382,6.09363,6093.63
2.34408,5.9722,5972.2
2.37517,5.84876,5848.76
2.40588,5.72907,5729.07
2.43575,5.61382,5613.82
2.46554,5.50349,5503.49
2.49398,5.39757,5397.57
2.52445,5.2890299999999995,5289.03
2.55558,5.18051,5180.51
2.58598,5.077649999999999,5077.65
2.61638,4.979640000000001,4979.64
2.64536,4.8868100000000005,4886.81
2.67416,4.79869,4798.69
2.7034,4.71413,4714.13
2.73469,4.62573,4625.73
2.76596,4.547140000000001,4547.14
2.79582,4.4822500000000005,4482.25
2.82569,4.4284799999999995,4428.48
2.8535,4.39195,4391.95
2.88123,4.36119,4361.19
2.91196,4.32871,4328.71
2.94477,4.29487,4294.87
2.97549,4.264600000000001,4264.6
3.00621,4.23869,4238.69
